# clr arc: clear_time(N,eta) = t_end^T = 45.27 d  (TDINN city-fit benchmark)
# N_floor = I^T_tcum = 2096.76 (effective-pool floor); solid above, dashed below
# N_clr(eta=100) = 4601.9 ; top vertex (N=5914.3, eta=I^T_peak=151.90)
N_eff,eta_star
1125.00,10.1121
1135.00,10.2567
1150.00,10.4757
1170.00,10.7710
1200.00,11.2218
1250.00,11.9921
1300.00,12.7852
1350.00,13.5995
1400.00,14.4342
1450.00,15.2883
1500.00,16.1612
1539.00,16.8546
1692.00,19.6776
1860.00,22.9581
2045.00,26.7787
2096.76,27.8858
2249.00,31.2378
2472.00,36.3967
2718.00,42.4289
2988.00,49.4513
3285.00,57.6533
3611.00,67.2339
3970.00,78.4689
4365.00,91.6684
4799.00,107.1742
5276.00,125.4387
5800.00,146.9905
5914.28,151.9000
