role,c0,t,I,q,I_cum,Iq_cum,It_cum,phase
near-trigger,3.4337363710453395,0.0,0.00100662823352,0.323,0.0,0.0,0.0,pre-control
near-trigger,3.4337363710453395,0.16678992561709072,0.0010155544482010703,0.323,5.872523880790854e-05,2.80180976882636e-05,8.674333649617215e-05,pre-control
near-trigger,3.4337363710453395,0.33357985123418143,0.0010245598148138405,0.323,0.00011797121934931847,5.6284643795908225e-05,0.0001742558631452267,pre-control
near-trigger,3.4337363710453395,0.5003697768512722,0.0010336450352136607,0.323,0.0001777425592136715,8.480184139736468e-05,0.0002625444006110362,pre-control
near-trigger,3.4337363710453395,0.6671597024683629,0.0010428108174791281,0.323,0.00023804391693517957,0.00011357191310201329,0.00035161583003719284,pre-control
near-trigger,3.4337363710453395,0.8339496280854536,0.0010520578759672732,0.323,0.0002988799923559386,0.00014259710122742713,0.0004414770935833657,pre-control
near-trigger,3.4337363710453395,1.0007395537025443,0.0010613869313692227,0.323,0.00036025552699218033,0.00017187966797411263,0.0005321351949662929,pre-control
near-trigger,3.4337363710453395,1.1675294793196351,0.0010707987107663522,0.323,0.0004221753044037405,0.0002014218956017846,0.0006235972000055251,pre-control
near-trigger,3.4337363710453395,1.3343194049367257,0.0010802939476869519,0.323,0.00048464415056690845,0.00023122608660725466,0.0007158702371741631,pre-control
near-trigger,3.4337363710453395,1.5011093305538163,0.0010898733821633848,0.323,0.0005476669342505092,0.0002612945639038619,0.0008089614981543712,pre-control
near-trigger,3.4337363710453395,1.6678992561709072,0.0010995377607897446,0.323,0.0006112485673952853,0.0002916296710024773,0.0009028782383977625,pre-control
near-trigger,3.4337363710453395,1.834689181787998,0.001109287836780042,0.323,0.0006753940054967494,0.0003222337721941655,0.000997627777690915,pre-control
near-trigger,3.4337363710453395,2.0014791074050886,0.001119124370026896,0.323,0.0007401082479913621,0.00035310925273443114,0.0010932175007257934,pre-control
near-trigger,3.4337363710453395,2.168269033022179,0.0011290481271607402,0.323,0.0008053963386460907,0.00038425851902908003,0.0011896548576751705,pre-control
near-trigger,3.4337363710453395,2.3350589586392703,0.0011390598816095688,0.323,0.0008712633659515374,0.0004156839988217822,0.0012869473647733197,pre-control
near-trigger,3.4337363710453395,2.501848884256361,0.0011491604136592034,0.323,0.0009377144635184793,0.00044738814138326263,0.0013851026049017418,pre-control
near-trigger,3.4337363710453395,2.6686388098734515,0.001159350510514087,0.323,0.001004754810477881,0.00047937341770215006,0.0014841282281800312,pre-control
near-trigger,3.4337363710453395,2.835428735490542,0.0011696309663586342,0.323,0.0010723896318845703,0.0005116423206775719,0.001584031952562142,pre-control
near-trigger,3.4337363710453395,3.0022186611076327,0.0011800025824191148,0.323,0.0011406241991244214,0.0005441973653134241,0.0016848215644378456,pre-control
near-trigger,3.4337363710453395,3.1690085867247237,0.0011904661670260781,0.323,0.0012094638303251002,0.0005770410889143387,0.0017865049192394389,pre-control
near-trigger,3.4337363710453395,3.3357985123418143,0.0012010225356773494,0.323,0.001278913890770571,0.0006101760512834479,0.001889089942054019,pre-control
near-trigger,3.4337363710453395,3.502588437958905,0.001211672511101574,0.323,0.0013489797933192084,0.0006436048349218673,0.0019925846282410754,pre-control
near-trigger,3.4337363710453395,3.669378363575996,0.0012224169233223166,0.323,0.0014196669988255633,0.0006773300452299214,0.0020969970440554847,pre-control
near-trigger,3.4337363710453395,3.8361682891930866,0.0012332566097227474,0.323,0.0014909810165659916,0.0007113543107102144,0.002202335327276206,pre-control
near-trigger,3.4337363710453395,4.002958214810177,0.0012441924151108921,0.323,0.0015629274046679875,0.0007456802831724662,0.0023086076878404537,pre-control
near-trigger,3.4337363710453395,4.169748140427268,0.0012552251917854497,0.323,0.0016355117705432643,0.0007803106379401392,0.0024158224084834035,pre-control
near-trigger,3.4337363710453395,4.336538066044358,0.0012663557996022146,0.323,0.0017087397713248067,0.0008152480740589547,0.0025239878453837614,pre-control
near-trigger,3.4337363710453395,4.5033279916614495,0.0012775851060410777,0.323,0.001782617114307724,0.00085049531450723,0.0026331124288149544,pre-control
near-trigger,3.4337363710453395,4.6701179172785405,0.0012889139862736097,0.323,0.001857149557393953,0.0008860551064080453,0.002743204663801998,pre-control
near-trigger,3.4337363710453395,4.836907842895631,0.0013003433232312647,0.323,0.0019323429095410324,0.0009219302212433579,0.0028542731307843903,pre-control
near-trigger,3.4337363710453395,5.003697768512722,0.0013118740076741803,0.323,0.0020082030312147943,0.000958123455069983,0.0029663264862847777,pre-control
near-trigger,3.4337363710453395,5.170487694129812,0.0013235069382605724,0.323,0.002084735834845993,0.0009946376287374528,0.0030793734635834458,pre-control
near-trigger,3.4337363710453395,5.337277619746903,0.0013352430216167705,0.323,0.0021619472852911254,0.001031475588107878,0.0031934228733990037,pre-control
near-trigger,3.4337363710453395,5.504067545363994,0.0013470831724078603,0.323,0.002239843400297268,0.0010686402042777215,0.0033084836045749895,pre-control
near-trigger,3.4337363710453395,5.670857470981084,0.0013590283134089453,0.323,0.002318430250970958,0.0011061343738015055,0.0034245646247724635,pre-control
near-trigger,3.4337363710453395,5.837647396598175,0.0013710793755770557,0.323,0.0023977139622513802,0.0011439610189175713,0.003541674981168952,pre-control
near-trigger,3.4337363710453395,6.004437322215265,0.0013832372981236916,0.323,0.002477700713387677,0.0011821230877758044,0.0036598238011634815,pre-control
near-trigger,3.4337363710453395,6.171227247832356,0.0013955030285879918,0.323,0.0025583967384204113,0.0012206235546673451,0.0037790202930877564,pre-control
near-trigger,3.4337363710453395,6.3380171734494475,0.0014078775229105747,0.323,0.0026398083266674487,0.001259465420256404,0.0038992737469238526,pre-control
near-trigger,3.4337363710453395,6.504807099066538,0.001420361745508026,0.323,0.002721941823214075,0.0012986517118141001,0.004020593535028175,pre-control
near-trigger,3.4337363710453395,6.671597024683629,0.0014329566693480316,0.323,0.002804803629407382,0.0013381854834543338,0.004142989112861716,pre-control
near-trigger,3.4337363710453395,6.83838695030072,0.0014456632760251997,0.323,0.002888400203355182,0.0013780698163718217,0.0042664700197270035,pre-control
near-trigger,3.4337363710453395,7.00517687591781,0.0014584825558375464,0.323,0.00297273806042928,0.0014183078190822115,0.004391045879511491,pre-control
near-trigger,3.4337363710453395,7.171966801534901,0.0014714155078636433,0.323,0.0030578237737731257,0.0014589026276642834,0.004516726401437409,pre-control
near-trigger,3.4337363710453395,7.338756727151992,0.0014844631400404756,0.323,0.0031436639748141128,0.00149985740600437,0.004643521380818482,pre-control
near-trigger,3.4337363710453395,7.505546652769082,0.0014976264692419781,0.323,0.0032302653537803565,0.0015411753460429177,0.004771440699823274,pre-control
near-trigger,3.4337363710453395,7.672336578386173,0.0015109065213582543,0.323,0.003317634660221967,0.0015828596680231837,0.004900494328245151,pre-control
near-trigger,3.4337363710453395,7.839126504003263,0.00152430433137552,0.323,0.00340577870353709,0.0016249136207422158,0.0050306923242793055,pre-control
near-trigger,3.4337363710453395,8.005916429620354,0.001537820943456751,0.323,0.003494704353502565,0.0016673404818040305,0.005162044835306596,pre-control
near-trigger,3.4337363710453395,8.172706355237445,0.0015514574110230214,0.323,0.0035844185408091685,0.0017101435578749803,0.005294562098684149,pre-control
near-trigger,3.4337363710453395,8.339496280854537,0.0015652147968355991,0.323,0.0036749282576017846,0.0017533261849414718,0.005428254442543257,pre-control
near-trigger,3.4337363710453395,8.506286206471627,0.0015790941730787489,0.323,0.0037662405580242845,0.001796891728569932,0.005563132286594216,pre-control
near-trigger,3.4337363710453395,8.673076132088717,0.001593096621443261,0.323,0.0038583625587691505,0.0018408435841690337,0.005699206142938184,pre-control
near-trigger,3.4337363710453395,8.839866057705809,0.0016072232332107422,0.323,0.003951301439632127,0.0018851851772543234,0.00583648661688645,pre-control
near-trigger,3.4337363710453395,9.006655983322899,0.001621475109338644,0.323,0.004045064444071726,0.0019299199637151665,0.005974984407786892,pre-control
near-trigger,3.4337363710453395,9.17344590893999,0.0016358533605460323,0.323,0.0041396588797735995,0.0019750514300840073,0.006114710309857606,pre-control
near-trigger,3.4337363710453395,9.340235834557081,0.001650359107400136,0.323,0.004235092119220067,0.0020205830938080974,0.006255675213028164,pre-control
near-trigger,3.4337363710453395,9.507025760174171,0.0016649934804036615,0.323,0.0043313716002646415,0.0020665185035236033,0.006397890103788245,pre-control
near-trigger,3.4337363710453395,9.673815685791261,0.0016797576200828577,0.323,0.0044285048267115375,0.002112861239332093,0.006541366066043631,pre-control
near-trigger,3.4337363710453395,9.840605611408352,0.0016946526770763907,0.323,0.004526499368900484,0.0021596149130795514,0.006686114281980035,pre-control
near-trigger,3.4337363710453395,10.007395537025443,0.0017096798122249993,0.323,0.004625362864296667,0.0022067831686378493,0.006832146032934516,pre-control
near-trigger,3.4337363710453395,10.174185462642534,0.001724840196661921,0.323,0.004725103018085784,0.0022543696821886393,0.006979472700274424,pre-control
near-trigger,3.4337363710453395,10.340975388259624,0.0017401350119041533,0.323,0.004825727603774547,0.0023023781625098657,0.007128105766284413,pre-control
near-trigger,3.4337363710453395,10.507765313876716,0.0017555654499445117,0.323,0.004927244463796463,0.0023508123512647828,0.0072780568150612466,pre-control
near-trigger,3.4337363710453395,10.674555239493806,0.001771132713344484,0.323,0.00502966151012284,0.0023996760232934677,0.007429337533416308,pre-control
near-trigger,3.4337363710453395,10.841345165110896,0.0017868380153279377,0.323,0.005132986724879414,0.0024489729869070177,0.007581959711786432,pre-control
near-trigger,3.4337363710453395,11.008135090727988,0.001802682579875648,0.323,0.00523722816096838,0.0024987070841843233,0.007735935245152704,pre-control
near-trigger,3.4337363710453395,11.174925016345078,0.001818667641820644,0.323,0.005342393942695792,0.002548882191271405,0.007891276133967198,pre-control
near-trigger,3.4337363710453395,11.341714941962168,0.0018347944469444284,0.323,0.005448492266404733,0.0025995022186834998,0.008047994485088233,pre-control
near-trigger,3.4337363710453395,11.50850486757926,0.0018510642520740426,0.323,0.005555531401114038,0.0026505711116098,0.008206102512723839,pre-control
near-trigger,3.4337363710453395,11.67529479319635,0.0018674783251799686,0.323,0.005663519689162527,0.002702092850220823,0.00836561253938335,pre-control
near-trigger,3.4337363710453395,11.84208471881344,0.0018840379454749322,0.323,0.005772465546859163,0.0027540714499785976,0.008526536996837761,pre-control
near-trigger,3.4337363710453395,12.00887464443053,0.0019007444035135693,0.323,0.005882377465138914,0.0028065109619495867,0.0086888884270885,pre-control
near-trigger,3.4337363710453395,12.175664570047623,0.0019175990012929574,0.323,0.005993264010224273,0.002859415473120297,0.00885267948334457,pre-control
near-trigger,3.4337363710453395,12.342454495664713,0.0019346030523540647,0.323,0.00610513382429285,0.002912789106715792,0.009017922931008641,pre-control
