scan_param,scan_value,status,R0,S_star,S_c,S_bar,q0,q_inf,q_max,has_inflection,regime,exit_side,dt,seg_high,seg_low,seg_high_frac,chord_dev
beta,0.05,no_crossing,1.4033238927090252,,542.9965270020513,507.9748799999999,0.01526,0.4736842105263158,,,,,,,,,
beta,0.055,ok,1.543656281979928,577.6987735652507,493.63320636550105,459.3648436363635,0.01526,0.4708994708994708,0.15855739032227878,False,全程减速释放 (q_c''>0),t1,2.4785759666651828,nan,nan,,0.11382919889521273
beta,0.06,ok,1.6839886712508303,627.0652269367331,452.49710583504276,418.85648,0.01526,0.46808510638297873,0.28940087751834886,False,全程减速释放 (q_c''>0),t1,3.645613457310712,nan,nan,,0.1423861006617604
beta,0.065,ok,1.824321060521733,648.8546348240029,417.689636155424,384.58017230769224,0.01526,0.46524064171123003,0.3660896135553403,False,全程减速释放 (q_c''>0),t1,4.1543380709633055,nan,nan,,0.1452296639509789
beta,0.06999999999999999,ok,1.9646534497926351,662.1497334487659,387.8546621443224,355.20048,0.01526,0.4623655913978495,0.4231878671751328,False,全程减速释放 (q_c''>0),t1,4.481418996027066,nan,nan,,0.1423983722298025
beta,0.07499999999999998,ok,2.1049858390635374,671.2955690494377,361.9976846680343,329.7380800000001,0.01526,0.45945945945945954,0.468976682648493,True,存在内部拐点,,4.7194003790548,0.07043473049416757,4.648965648560632,0.014924508377539735,0.13733257745589142
beta,0.07999999999999999,ok,2.2453182283344404,678.030684827526,339.3728293762821,307.45848000000007,0.01526,0.4565217391304348,0.507110802684379,True,存在内部拐点,,4.903985156429696,0.3734165136669544,4.530568642762742,0.07614552282593307,0.13124566175646907
beta,0.08499999999999999,ok,2.385650617605343,683.2201136139436,319.4097217659126,287.80000941176473,0.01526,0.45355191256830607,0.5396278254338771,True,存在内部拐点,,5.052968656641009,0.6353658550275343,4.417602801613476,0.12574110353771667,0.12469102286854448
beta,0.08999999999999998,ok,2.525983006876245,687.3515685787945,301.6647372233619,270.3258133333334,0.01526,0.4505494505494506,0.5678174795650012,True,存在内部拐点,,5.176574166722667,0.8670400710379147,4.309534095684753,0.16749302591115875,0.11795738781121647
beta,0.09499999999999997,ok,2.666315396147147,690.7238876015587,285.78764579055337,254.6910063157895,0.01526,0.4475138121546961,0.5925629164310453,True,存在内部拐点,,5.281235796851021,1.0753331716571175,4.205902625193904,0.20361392920541313,0.11120809783669054
beta,0.09999999999999998,ok,2.80664778541805,693.5315427733608,271.4982635010257,240.61968000000005,0.01526,0.4444444444444444,0.61450174431739,True,存在内部拐点,,5.3712693802304265,1.2649598948643455,4.106309485366081,0.23550483234376132,0.10454030782533905
beta,0.10499999999999998,ok,2.9469801746889526,695.9070441086456,258.5697747628816,227.88848000000002,0.01526,0.44134078212290506,0.6341120525283146,True,存在内部拐点,,5.44970956848242,1.4393031510838175,4.010406417398602,0.26410639557891524,0.0980134947369626
beta,0.10999999999999997,ok,3.087312563959855,697.9440351360222,246.81660318275064,216.3146618181819,0.01526,0.4382022471910112,0.6517626491774318,True,存在内部拐点,,5.518769100716315,1.600881535877843,3.9178875648384723,0.2900794555202635,0.09166454467852875
beta,0.11499999999999998,ok,3.2276449532307576,699.7106908138079,236.08544652263106,205.74726260869568,0.01526,0.4350282485875706,0.6677444182847865,True,存在内部拐点,,5.580108736317456,1.751625894917547,3.8284828413999086,0.31390533369310597,0.08551647059044484
beta,0.11999999999999997,ok,3.36797734250166,701.2578902670942,226.2485529175214,196.06048000000004,0.01526,0.43181818181818177,0.6822909188014388,True,存在内部拐点,,5.635004708884876,1.8930521624973367,3.7419525463875387,0.3359450897197133,0.07958313558185057
beta,0.12499999999999996,ok,3.5083097317725627,702.6244115547092,217.19861080082057,187.14864000000006,0.01526,0.4285714285714286,0.6955924723327861,True,存在内部拐点,,5.684457226328748,2.026374270065578,3.6580829562631703,0.3564762983315282,0.07387268477156948
beta,0.12999999999999995,ok,3.6486421210434643,703.8403491576294,208.84481807771212,178.92232615384626,0.01526,0.4252873563218391,0.7078061148384264,True,存在内部拐点,,5.729263335752739,2.152580648352892,3.576682687399847,0.3757168281862672,0.0683892657294676
beta,0.13499999999999995,ok,3.7889745103143673,704.9294290080582,201.1098248155746,171.30536888888892,0.01526,0.4219653179190751,0.7190628157380772,True,存在内部拐点,,5.77006734737781,2.2724876737985498,3.497579673579261,0.39384075383994865,0.06313457433052348
beta,0.13999999999999996,ok,3.9293068995852694,705.9106167809687,193.92733107216125,164.23248000000004,0.01526,0.4186046511627908,0.7294728320267578,True,存在内部拐点,,5.807396630523161,2.3867779929168056,3.4206186376063545,0.4109893201322108,0.058108421131683616
beta,0.14499999999999996,ok,4.069639288856173,706.7992600703537,187.24018172484529,157.64737655172414,0.01526,0.41520467836257313,0.739129754418007,True,存在内部拐点,,5.84168758960015,2.4960286264436533,3.345658963156497,0.4272786909877357,0.05330956950008767
