valid,R0,beta,gamma,c0,q0,N,eta,eta_frac,eta_percent,S0,I0,a,rho1,S_star,S_c,S_bar,t1,t2,Delta_t,S_end,t_end,q_max,q_mean,J_q,J,I_pre,I_wall,I_post,I_t_cum,Imax_pre,platform_error,q_t2_error,cum_decomp_error
1,2.61360787671233,0.155,0.3504,6,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,265.399682062626,761.061722167971,291.93361666777,242.919509677419,0.749799061939557,197.261598364369,196.511799302429,273.937459036155,233.50177590784,0.622266235045295,0.297434136742419,56.3098354163155,45.7325647689284,0.866215931559657,161.504839226746,16.6140112397841,178.98506639809,173.712113090637,NaN,2.74086309204336e-16,0
1,2.72250820490868,0.155,0.3504,6.25,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,254.783694780121,761.084495931765,280.256272001059,233.202729290323,0.702327888124812,194.109221639921,193.406893751796,262.631420149325,229.625503967696,0.63738643637399,0.305607819306463,57.0254786437747,47.6082617842026,0.845191245324652,161.915467214319,16.2712225997529,179.031881059396,184.112513567563,NaN,5.20417042793042e-17,0
1,2.83140853310502,0.155,0.3504,6.5,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,244.984321903963,761.104557261965,269.477184616403,224.233393548387,0.660510384384301,190.944564258413,190.284053874029,252.202003933083,225.779130428247,0.651342302122335,0.313291843593299,57.5895235112654,49.3005268537174,0.826670671530317,162.178341623772,15.9484069831541,178.953419278456,194.105172068437,NaN,2.74086309204336e-16,0
1,2.94030886130137,0.155,0.3504,6.75,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,235.910828500112,761.122363559097,259.496548149128,215.928453046595,0.623393222521236,187.794979274771,187.17158605225,242.551426411904,221.986065467394,0.664263404862454,0.320535339737031,58.0243206544059,50.8257240632447,0.810231939066745,162.32179301995,15.6436973249887,178.775722284005,203.706872535377,NaN,5.20417042793042e-17,0
1,3.04920918949772,0.155,0.3504,7,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,227.485441767965,761.138274845407,250.22881428666,208.216722580645,0.59022602052428,184.680130190243,184.089904169719,233.595906518208,218.262527142201,0.676260765324549,0.327380647654795,58.3486606781097,52.1989749811579,0.79554267622426,162.368360805502,15.35546210875,178.519365590476,212.935002838053,NaN,5.20417042793042e-17,0
1,3.15810951769406,0.155,0.3504,7.25,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,219.64111618976,761.152578371519,241.600234483671,201.036835595106,0.560410063131705,181.614016346074,181.053606282943,225.263247755296,214.619488899722,0.68743006111276,0.333864498224132,58.5783997618118,53.4341405053727,0.782337693891425,162.336116372877,15.0822684867253,178.200722553494,221.807043668198,NaN,2.74086309204336e-16,0
1,3.26700984589041,0.155,0.3504,7.5,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,212.319745650101,761.165506120036,233.546893334216,194.335607741935,0.533461823913209,178.606438672803,178.072976848889,217.490904129466,211.06408184683,0.697854190852328,0.340018949050505,58.7269663218111,54.5438568797167,0.770402826261676,162.239649396453,14.8228522206849,177.8329044434,230.340226377597,NaN,2.74086309204336e-16,0
1,3.37591017408676,0.155,0.3504,7.75,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,205.470721596872,761.177247488582,226.013122581499,188.066717169615,0.508986532921253,175.664071397511,175.15508486459,210.224420894158,207.600614335774,0.70760534019477,0.345872133669185,58.8057724171753,55.5396019285556,0.759563221887023,162.09081179963,14.5760930007788,177.426468022296,238.551308899843,NaN,2.74086309204336e-16,0
1,3.4848105022831,0.155,0.3504,8,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,199.04976154697,761.187958633247,218.950212500827,182.189632258065,0.486658703869749,172.791252768783,172.304594064913,203.416168034772,204.23131959894,0.716746659202017,0.351448867132948,58.8245488966485,56.4317764536987,0.749674717823964,161.899285010598,14.3409940411373,176.989953769559,246.456434349588,NaN,2.74086309204336e-16,0
1,3.59371083047945,0.155,0.3504,8.25,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,193.017950591001,761.197769455299,212.31535757656,176.66873431085,0.466207572783698,169.990573120759,169.524365547975,197.024304334668,200.956907961384,0.7253336338997,0.356771139792227,58.7916194130869,57.229791439477,0.740617389522179,161.673016749764,14.1166651031461,176.530299242432,254.071047477698,NaN,2.74086309204336e-16,0
