valid,R0,beta,gamma,c0,q0,N,eta,eta_frac,eta_percent,S0,I0,a,rho1,S_star,S_c,S_bar,t1,t2,Delta_t,S_end,t_end,q_max,q_mean,J_q,J,I_pre,I_wall,I_post,I_t_cum,Imax_pre,platform_error,q_t2_error,cum_decomp_error
1,4.35601312785388,0.155,0.3504,10,0.01526,763,1.526,0.002,0.2,762,1,0.909109697923758,159.239809237576,761.248604134197,175.160170000662,145.751705806452,0.360239320768623,152.417608104118,152.057368783349,161.306289722028,180.582058241729,0.773415379851331,0.388315495638908,57.6048876627541,60.8004719558768,0.693686931150926,159.547832020601,12.7898703365159,173.031389288268,300.380128899381,NaN,2.74086309204336e-16,0
1,4.35601312785388,0.155,0.3504,10,0.01526,763,2.289,0.003,0.3,762,1,0.909109697923758,159.239809237576,760.158257323424,175.160170000662,145.751705806452,0.70636881498624,102.018845961008,101.312477146022,153.808255170506,135.609866984111,0.773090374083691,0.388090937045456,38.3577652870277,40.4636122471015,1.70029259332953,159.338772125349,19.7120385496035,180.751103268282,300.380128899381,NaN,2.74086309204336e-16,0
1,4.35601312785388,0.155,0.3504,10,0.01526,763,3.052,0.004,0.4,762,1,0.909109697923758,159.239809237576,759.067442029987,175.160170000662,145.751705806452,0.952414298343017,76.8923477961221,75.9399334977791,148.524509209228,111.707747849243,0.772764294375259,0.387865810266268,28.7341434820425,30.2951116732375,2.70733075762389,159.12955121055,24.5899806406771,186.426862608851,300.380128899381,NaN,2.74086309204336e-16,0
1,4.35601312785388,0.155,0.3504,10,0.01526,763,3.815,0.005,0.5,762,1,0.909109697923758,159.239809237576,757.976156299451,175.160170000662,145.751705806452,1.14362083891651,61.8599495144281,60.7163286755115,144.255835073257,96.8040424532782,0.77243713489807,0.387640112560247,22.9599217117533,24.1939545795868,3.71480322836317,158.92016855571,28.5308107626257,191.165782546699,300.380128899381,NaN,2.74086309204336e-16,0
1,4.35601312785388,0.155,0.3504,10,0.01526,763,4.578,0.006,0.6,762,1,0.909109697923758,159.239809237576,756.884398164408,175.160170000662,145.751705806452,1.30014180471504,51.8673347606497,50.5671929559347,140.60461620204,86.5578639146422,0.772108889779249,0.38741384116642,19.1103997964484,20.1264690805255,4.72271182185464,158.710623435275,31.9016076075447,195.334942864675,300.380128899381,NaN,2.74086309204336e-16,0
1,4.35601312785388,0.155,0.3504,10,0.01526,763,5.341,0.007,0.7,762,1,0.909109697923758,159.239809237576,755.792165644355,175.160170000662,145.751705806452,1.43272762290225,44.750481221454,43.3177535985517,137.379973222524,79.0419469911427,0.771779553100558,0.387186993303747,16.3607062296463,17.2210815101605,5.73105836649426,158.500915118586,34.8785905726113,199.110564057691,300.380128899381,NaN,2.74086309204336e-16,0
1,4.35601312785388,0.155,0.3504,10,0.01526,763,6.104,0.008,0.8,762,1,0.909109697923758,159.239809237576,754.699456745573,175.160170000662,145.751705806452,1.5477953464976,39.4284195778924,37.8806242313948,134.472755232384,73.2690837199037,0.771449118897934,0.386959566170926,14.29840525732,15.0420050349941,6.73984470287695,158.291042869825,37.5625275192315,202.593415091933,300.380128899381,NaN,2.74086309204336e-16,0
1,4.35601312785388,0.155,0.3504,10,0.01526,763,6.867,0.009,0.9,762,1,0.909109697923758,159.239809237576,753.606269461012,175.160170000662,145.751705806452,1.64948411163831,35.3011854245761,33.6517013129378,131.813609805764,68.6802004787661,0.771117581161027,0.386731556946191,12.6943659043049,13.3471358581454,7.74907268390941,158.08100594797,40.0174444470803,205.84752307896,300.380128899381,NaN,2.74086309204336e-16,0
1,4.35601312785388,0.155,0.3504,10,0.01526,763,7.63,0.01,1,762,1,0.909109697923758,159.239809237576,752.512601770157,175.160170000662,145.751705806452,1.74062009626042,32.0091428131222,30.2685227168618,129.355221436648,64.9343071595974,0.770784933832729,0.386502962787113,11.4111095848618,11.9912117010384,8.75874417492467,157.870803606743,42.2870229222371,208.916570703904,300.380128899381,NaN,2.74086309204336e-16,0
1,4.35601312785388,0.155,0.3504,10,0.01526,763,8.393,0.011,1.1,762,1,0.909109697923758,159.239809237576,751.418451638911,175.160170000662,145.751705806452,1.82321910247159,29.3236498276015,27.5004307251299,127.063602455071,61.8112164120842,0.7704511708087,0.386273780830396,10.3611499256604,10.8817929314427,9.76886105379614,157.660435094556,44.4026402832646,211.831936431617,300.380128899381,NaN,2.74086309204336e-16,0
