R0,beta,gamma,c0,eta,S_star,S_c,t1,t2,Delta_t,q_max,q_avg,J_q,Imax_pre,feasible
1.5,0.025,0.1,6,0.05,0.793494147538681,0.666666666666667,95.6075958954527,102.783874341804,7.17627844635128,0.159834173024989,0.0573274810366853,0.411397966547177,0.060723485163558,1
2,0.025,0.1,8,0.05,0.884865169988878,0.5,42.1268697682085,50.7746873613334,8.6478175931249,0.434942161859208,0.143610861571746,1.24192053526397,0.149451577646778,1
2.5,0.025,0.1,10,0.05,0.90516485980432,0.4,27.4785764737566,35.3623802188933,7.8838037451367,0.558091550210563,0.186843298289012,1.47303589480461,0.228503841591739,1
3,0.025,0.1,12,0.05,0.914590490027834,0.333333333333333,20.4234280691046,27.5220358607926,7.09860779168797,0.635538159462834,0.217414560621761,1.54334069405605,0.294812682395131,1
4,0.025,0.1,16,0.05,0.923659689934127,0.25,13.5071649777651,19.368888123617,5.86172314585194,0.729337544201123,0.260194846902593,1.52519015652033,0.396938993683403,1
4.5,0.025,0.1,18,0.05,0.926195687802717,0.222222222222222,11.5531843479484,16.9418543160779,5.38866996812948,0.760069901913043,0.276228526792806,1.48850436666904,0.436771764239384,1
5.5,0.025,0.1,22,0.05,0.929543367160776,0.181818181818182,8.96161784056516,13.606134586058,4.64451674549281,0.804400538757506,0.301924981390685,1.40229563195164,0.501054953384559,1
6.5,0.025,0.1,26,0.05,0.931655024205154,0.153846153846154,7.32015364496062,11.4081073755204,4.08795373055975,0.834867896539915,0.321944804648691,1.31609546519795,0.550730485992602,1
8.5,0.025,0.1,34,0.05,0.934171142923431,0.117647058823529,5.35786014237648,8.66953210996902,3.31167196759254,0.874062627908458,0.351829223454273,1.16514297669337,0.622762843806733,1
10,0.025,0.1,40,0.05,0.935318183105704,0.1,4.46107963833293,7.36833482823288,2.90725518989995,0.893084511980776,0.368724536509804,1.07197632241158,0.661746524285946,1
