c0,R0,eta,eta_frac,S_star,S_c,t1,t2,Delta_t,S_end,t_end,q_max,J_q,J,I_t_cum,Imax_pre,feasible
3.34702736604755,1.45796951457893,38.15,0.05,559.1495968479,523.33055826641,29.9176318728872,31.9608215040184,2.0431896311312,342.816549997832,71.469030159337,0.0783422954207207,0.0631609558412125,0.00530308273187993,382.552465838011,39.2160179406342,1
3.5,1.52460459474886,38.15,0.05,608.826700841783,500.457628573319,23.6109966555916,28.344921391652,4.73392473606038,324.491108058479,67.0708602251323,0.190540354948459,0.390888535843694,0.08967579466698,374.131593394365,47.4902010179999,1
4,1.74240525114155,38.15,0.05,654.627341108563,437.900425001654,15.36974098123,22.2355546376421,6.86581365641212,274.925159526582,58.7277162448334,0.341277032844529,1.03068589805015,0.43739772511067,360.73181659426,75.1128408960959,1
4.5,1.96020590753425,38.15,0.05,672.50443161849,389.244822223693,11.5687073085309,19.0094567207881,7.44074941225715,237.022116342762,53.6541004750196,0.430033575668677,1.41924428019807,0.768976177050561,351.107891780057,102.169928266641,1
5,2.17800656392694,38.15,0.05,682.574245680763,350.320340001323,9.30386095498309,16.8816969295602,7.57783597457716,207.186905353198,49.9657486438822,0.494597908145737,1.67744966212727,1.05610315803947,342.562880849676,127.771917592718,1
5.5,2.39580722031964,38.15,0.05,689.118863919457,318.473036364839,7.78935166134276,15.3198495202276,7.53049785888488,183.153229679535,47.0633227161754,0.544907048333876,1.85372090761837,1.29732725316471,334.723409085335,151.628842612389,1
6,2.61360787671233,38.15,0.05,693.736680689659,291.93361666777,6.70231923005843,14.0988316203625,7.39651239030402,163.423748681752,44.6748025265674,0.585608318430517,1.974972242022,1.4974315583507,327.489235910796,173.712113090637,1
7,3.04920918949772,38.15,0.05,699.844154581273,250.22881428666,5.2431705306701,12.271066824927,7.02789629425688,133.06618303019,40.9038318653099,0.647906864738942,2.11340226340158,1.79813157260708,314.6221922042,212.935002838053,1
8,3.4848105022831,38.15,0.05,703.712524909041,218.950212500827,4.30734699274258,10.9381647157218,6.63081772297921,110.919457001467,38.0095305194967,0.693612058011994,2.16983927012932,2.00058594624686,303.582872534649,246.456434349588,1
9,3.92041181506849,38.15,0.05,706.386605380938,194.622411111846,3.65558471165487,9.90695178935933,6.25136707770446,94.1432471632967,35.6891685073338,0.72868614486974,2.18133244307188,2.1354896242493,294.04166502609,275.315064813462,1
10,4.35601312785388,38.15,0.05,708.346957587432,175.160170000662,3.17540679563614,9.07796264677616,5.90255585114002,81.0587473544379,33.7731827191148,0.756493306057348,2.1673441866999,2.22361570293535,285.724371360508,300.380128899381,1
11,4.79161444063927,38.15,0.05,709.846274082316,159.23651818242,2.80686289089308,8.39316685099593,5.58630396010285,70.6127610301204,32.1563354023268,0.779097848872033,2.13873028596577,2.27894382967175,278.411493185497,322.342830027938,1
12,5.22721575342466,38.15,0.05,711.030352732804,145.966808333885,2.51504308955457,7.81576558599926,5.3007224964447,62.112683722206,30.7687209107712,0.797843574066486,2.10181318681426,2.3109856605791,271.92951908173,341.746330782662,1
13,5.66281706621005,38.15,0.05,711.989292720929,134.738592308201,2.27823013702381,7.32099786990879,5.04276773288498,55.0852852242298,29.5615834067314,0.813645397836644,2.06039241350418,2.32631407737261,266.141257642054,359.01828493861,1
