R0,beta,gamma,c0,q0,eta,S_star,S_q,t1,t2,Delta_t,c_min,c_min_ratio,u_max,c_avg,J_c,Imax_pre,feasible
1.5,0.025,0.1,6,0.05,0.05,NaN,0.701754385964912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0160572931373757,0
2,0.025,0.1,8,0.05,0.05,NaN,0.526315789473684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0432366863866283,0
2.5,0.025,0.1,10,0.05,0.05,0.679184148967737,0.421052631578947,33.8608153345925,50.4862350986162,16.6254197640237,6.19938837234183,0.619938837234183,0.380061162765817,7.79911623131124,3.65906165062772,0.0682953082531386,1
3,0.025,0.1,12,0.05,0.05,0.731815038185877,0.350877192982456,23.9792161412903,48.5141960018496,24.5349798605593,5.75353893550357,0.479461577958631,0.520538422041369,8.12500573753863,7.92274218243938,0.0896137109121969,1
4,0.025,0.1,16,0.05,0.05,0.772590624073449,0.263157894736842,15.3254237363458,48.1363452868391,32.8109215504933,5.44988016239398,0.340617510149624,0.659382489850376,8.9015015316344,14.55676727324,0.1227838363662,1
4.5,0.025,0.1,18,0.05,0.05,0.782959221424033,0.233918128654971,13.0011612335907,48.3631299204116,35.3619686868209,5.37770831555115,0.298761573086175,0.701238426913825,9.26483763886499,17.1606965493752,0.135803482746876,1
5.5,0.025,0.1,22,0.05,0.05,0.796130830442619,0.191387559808612,9.98302043872358,48.9325870219308,38.9495665832072,5.28873666837972,0.240397121289987,0.759602878710013,9.92478954314207,21.3783733498012,0.156891866749006,1
6.5,0.025,0.1,26,0.05,0.05,0.804176285424137,0.161943319838057,8.10543700062779,49.4695941061719,41.3641571055441,5.23582502009341,0.201377885388208,0.798622114611792,10.5065800108656,24.6489330204898,0.173244665102449,1
7.5,0.025,0.1,30,0.05,0.05,0.809610247393399,0.140350877192982,6.82346298372959,49.9283037762988,43.1048407925692,5.2006830809585,0.173356102698617,0.826643897301383,11.0249595519575,27.2638699181811,0.186319349590906,1
8.5,0.025,0.1,34,0.05,0.05,0.81352972399667,0.123839009287926,5.8921178466395,50.3128757431349,44.4207578964954,5.17562689056301,0.152224320310677,0.847775679689323,11.4919554481492,29.4065999341558,0.197032999670779,1
9.5,0.025,0.1,38,0.05,0.05,0.81649159889941,0.110803324099723,5.18471585341231,50.6358250777989,45.4511092243866,5.15685197675647,0.135706630967276,0.864293369032724,11.916756238698,31.1976937137167,0.205988468568584,1
10,0.025,0.1,40,0.05,0.05,0.817716984033503,0.105263157894737,4.8911606768024,50.7780172755703,45.886856598768,5.14912420556617,0.128728105139154,0.871271894860846,12.1155940119726,31.988193472861,0.209940967364305,1
