switch_s,total_cost
3.001499999999999724e-01,1.578385503679158752e+00
3.011066576373519488e-01,1.578385394739856507e+00
3.020633152747039807e-01,1.578384808822244523e+00
3.030199729120559571e-01,1.578383363253192728e+00
3.039766305494079335e-01,1.578380703096257331e+00
3.049332881867599099e-01,1.578376499483085338e+00
3.058899458241119418e-01,1.578370448050248287e+00
3.068466034614639182e-01,1.578362267474173075e+00
3.078032610988158946e-01,1.578351698097366418e+00
3.087599187361678710e-01,1.578338500639687503e+00
3.097165763735199029e-01,1.578322454988868362e+00
3.106732340108718793e-01,1.578303359064983757e+00
3.116298916482238557e-01,1.578281027753868582e+00
3.125865492855758876e-01,1.578255291904940849e+00
3.135432069229278640e-01,1.578225997389180790e+00
3.144998645602798404e-01,1.578193004213324091e+00
3.154565221976318168e-01,1.578156185686651947e+00
3.164131798349838487e-01,1.578115427636937351e+00
3.173698374723358251e-01,1.578070627672484072e+00
3.183264951096878015e-01,1.578021694487234283e+00
3.192831527470397779e-01,1.577968547206289429e+00
3.202398103843918098e-01,1.577911114769436018e+00
3.211964680217437862e-01,1.577849335349888360e+00
3.221531256590957626e-01,1.577783155806677495e+00
3.231097832964477945e-01,1.577712531168142585e+00
3.240664409337997709e-01,1.577637424144821443e+00
3.250230985711517473e-01,1.577557804669957875e+00
3.259797562085037237e-01,1.577473649465899852e+00
3.269364138458557556e-01,1.577384941634913718e+00
3.278930714832077320e-01,1.577291670272878088e+00
3.288497291205597084e-01,1.577193830104590244e+00
3.298063867579116848e-01,1.577091421139330096e+00
3.307630443952637167e-01,1.576984448345575718e+00
3.317197020326156931e-01,1.576872921343674738e+00
3.326763596699676695e-01,1.576756854115505702e+00
3.336330173073196459e-01,1.576636264730099990e+00
3.345896749446716778e-01,1.576511175084347682e+00
3.355463325820236542e-01,1.576381610657884735e+00
3.365029902193756306e-01,1.576247600281397432e+00
3.374596478567276625e-01,1.576109175917579153e+00
3.384163054940796389e-01,1.575966372454002506e+00
3.393729631314316153e-01,1.575819227507262221e+00
3.403296207687835917e-01,1.575667781237774179e+00
3.412862784061356236e-01,1.575512076174605536e+00
3.422429360434876000e-01,1.575352157049809909e+00
3.431995936808395764e-01,1.575188070641745597e+00
3.441562513181916083e-01,1.575019865626858140e+00
3.451129089555435847e-01,1.574847592439506450e+00
3.460695665928955611e-01,1.574671303139345557e+00
3.470262242302475375e-01,1.574491051285923149e+00
3.479828818675995694e-01,1.574306891820041798e+00
3.489395395049515458e-01,1.574118880951540067e+00
3.498961971423035222e-01,1.573927076053190044e+00
3.508528547796554986e-01,1.573731535560295880e+00
3.518095124170075305e-01,1.573532318875813685e+00
3.527661700543595069e-01,1.573329486280574008e+00
3.537228276917114833e-01,1.573123098848429935e+00
3.546794853290634597e-01,1.572913218366028598e+00
3.556361429664154916e-01,1.572699907256974949e+00
3.565928006037674680e-01,1.572483228510157094e+00
3.575494582411194444e-01,1.572263245611994931e+00
3.585061158784714763e-01,1.572040022482471544e+00
3.594627735158234527e-01,1.571813623414680006e+00
3.604194311531754291e-01,1.571584113017711948e+00
3.613760887905274055e-01,1.571351556162778662e+00
3.623327464278794374e-01,1.571116017932321363e+00
3.632894040652314138e-01,1.570877563572007585e+00
3.642460617025833902e-01,1.570636258445438527e+00
3.652027193399354221e-01,1.570392167991427002e+00
3.661593769772873985e-01,1.570145357683755183e+00
3.671160346146393749e-01,1.569895892993220521e+00
3.680726922519913513e-01,1.569643839351914316e+00
3.690293498893433277e-01,1.569389262119576633e+00
3.699860075266953596e-01,1.569132226551935849e+00
3.709426651640473360e-01,1.568872797770951344e+00
3.718993228013993124e-01,1.568611040736825224e+00
3.728559804387513443e-01,1.568347020221732890e+00
3.738126380761033207e-01,1.568080800785132567e+00
3.747692957134552971e-01,1.567812446750657340e+00
3.757259533508072735e-01,1.567542022184406747e+00
3.766826109881593054e-01,1.567269590874654561e+00
3.776392686255112818e-01,1.566995216312840666e+00
3.785959262628632582e-01,1.566718961675838795e+00
3.795525839002152901e-01,1.566440889809470161e+00
3.805092415375672665e-01,1.566161063212658799e+00
3.814658991749192429e-01,1.565879544023640380e+00
3.824225568122712193e-01,1.565596394006180780e+00
3.833792144496231957e-01,1.565311674537264164e+00
3.843358720869752276e-01,1.565025446595586844e+00
3.852925297243272040e-01,1.564737770750904478e+00
3.862491873616792359e-01,1.564448707154207030e+00
3.872058449990312123e-01,1.564158315528651366e+00
3.881625026363831887e-01,1.563866655161283870e+00
3.891191602737351651e-01,1.563573784895393004e+00
3.900758179110871415e-01,1.563279763123594179e+00
3.910324755484391734e-01,1.562984647781489267e+00
