time,s,i,q,beta1,beta2
0.000000000000000000e+00,9.899999999999999911e-01,1.000000000000000021e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000021e-02,9.899006626636341899e-01,1.006923360288325062e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000042e-02,9.898006477002715409e-01,1.013893642887720922e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.999999999999999889e-02,9.896999506584426287e-01,1.020911151724094267e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000083e-02,9.895985670597261530e-01,1.027976192501160908e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000278e-02,9.894964923986645511e-01,1.035089072705307547e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.999999999999999778e-02,9.893937221428832363e-01,1.042250101596481175e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000666e-02,9.892902517327050171e-01,1.049459590232196086e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000167e-02,9.891860765809349365e-01,1.056717851481089702e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.999999999999999667e-02,9.890811920728477258e-01,1.064025200023599980e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000056e-01,9.889755935661507236e-01,1.071381952352320338e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.100000000000000006e-01,9.888692763909675554e-01,1.078788426772153350e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.199999999999999956e-01,9.887622358493657337e-01,1.086244943430016152e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.300000000000000044e-01,9.886544672152913771e-01,1.093751824318828746e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.400000000000000133e-01,9.885459657345329054e-01,1.101309393279223739e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.499999999999999944e-01,9.884367266247534589e-01,1.108917975995029649e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.600000000000000033e-01,9.883267450752607486e-01,1.116577900007652974e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.700000000000000122e-01,9.882160162466462339e-01,1.124289494738406163e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.799999999999999933e-01,9.881045352707743534e-01,1.132053091489140101e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.900000000000000022e-01,9.879922972507242385e-01,1.139869023444379549e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000111e-01,9.878792972608716472e-01,1.147737625664153015e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.099999999999999922e-01,9.877655303464382142e-01,1.155659235112314540e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.200000000000000011e-01,9.876509915233143699e-01,1.163634190667219015e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.300000000000000100e-01,9.875356757780446859e-01,1.171662833122481123e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.399999999999999911e-01,9.874195780678148848e-01,1.179745505185156133e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.500000000000000000e-01,9.873026933204076538e-01,1.187882551477599524e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.600000000000000089e-01,9.871850164337251377e-01,1.196074318566937508e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.700000000000000178e-01,9.870665422757353147e-01,1.204321154968200115e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.800000000000000266e-01,9.869472656844359149e-01,1.212623411145799177e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.899999999999999800e-01,9.868271814679169252e-01,1.220981439506461756e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.999999999999999889e-01,9.867062844040760394e-01,1.229395594416963361e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.099999999999999978e-01,9.865845692402821498e-01,1.237866232224371817e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.200000000000000067e-01,9.864620306933679084e-01,1.246393711256478867e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.300000000000000155e-01,9.863386634495854288e-01,1.254978391822355287e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.400000000000000244e-01,9.862144621646916631e-01,1.263620636204872485e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.500000000000000333e-01,9.860894214634562394e-01,1.272320808690975864e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.599999999999999867e-01,9.859635359395184651e-01,1.281079275580086253e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.699999999999999956e-01,9.858368001553684534e-01,1.289896405184903956e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.800000000000000044e-01,9.857092086423719923e-01,1.298772567826400083e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.900000000000000133e-01,9.855807559006741769e-01,1.307708135838980650e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000222e-01,9.854514363987341152e-01,1.316703483598418746e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.100000000000000311e-01,9.853212445732898450e-01,1.325758987523891451e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.199999999999999845e-01,9.851901748293214744e-01,1.334875026078829498e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.299999999999999933e-01,9.850582215401543218e-01,1.344051979760927697e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.400000000000000022e-01,9.849253790470973158e-01,1.353290231124280006e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.500000000000000111e-01,9.847916416591546707e-01,1.362590164796158125e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.600000000000000200e-01,9.846570036530195580e-01,1.371952167477340570e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.700000000000000289e-01,9.845214592730588965e-01,1.381376627939804973e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.799999999999999822e-01,9.843850027313798545e-01,1.390863937020550729e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.899999999999999911e-01,9.842476282073110427e-01,1.400414487652603193e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e-01,9.841093298472991524e-01,1.410028674870871662e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.100000000000000089e-01,9.839701017648876391e-01,1.419706895812751155e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.200000000000000178e-01,9.838299380407919958e-01,1.429449549709001926e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.300000000000000266e-01,9.836888327227273354e-01,1.439257037893634794e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.400000000000000355e-01,9.835467798249799554e-01,1.449129763828749078e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.500000000000000444e-01,9.834037733283880200e-01,1.459068133105587486e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.600000000000000533e-01,9.832598071803128059e-01,1.469072553443910231e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.700000000000000622e-01,9.831148752947812541e-01,1.479143434679401105e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.799999999999999600e-01,9.829689715520402160e-01,1.489281188790173190e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.899999999999999689e-01,9.828220897983339643e-01,1.499486229909208386e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.999999999999999778e-01,9.826742238458945344e-01,1.509758974324658734e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.099999999999999867e-01,9.825253674729765851e-01,1.520099840473234688e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.199999999999999956e-01,9.823755144238747183e-01,1.530509248937142464e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.300000000000000044e-01,9.822246584084075582e-01,1.540987622473875655e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.400000000000000133e-01,9.820727931018498058e-01,1.551535386019817220e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.500000000000000222e-01,9.819199121449134759e-01,1.562152966690051256e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.600000000000000311e-01,9.817660091438826786e-01,1.572840793764640477e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
