switch_s,switch_i,terminal_s,terminal_i
9.797942254820012353e-01,2.670452647925793399e-01,4.058007031888123395e-01,1.348232024851213628e-01
9.690541674276852424e-01,2.649806626463413473e-01,4.064528680233111535e-01,1.346527825128833733e-01
9.585381334014547727e-01,2.629323093887867557e-01,4.071050328578100230e-01,1.344815901870297647e-01
9.482395430810548476e-01,2.608999168821501957e-01,4.077571976923088370e-01,1.343096279801367920e-01
9.381520600881957384e-01,2.588832037400119468e-01,4.084093625268077066e-01,1.341368983529257486e-01
9.282695811601801017e-01,2.568818951290838815e-01,4.090615273613065206e-01,1.339634037543395717e-01
9.185862258769957878e-01,2.548957225777408464e-01,4.097136921958053901e-01,1.337891466216174496e-01
9.090963269123095714e-01,2.529244237911414950e-01,4.103658570303042041e-01,1.336141293803692065e-01
8.997944207811034989e-01,2.509677424731704409e-01,4.110180218648030737e-01,1.334383544446492431e-01
8.906752390505197070e-01,2.490254281541207926e-01,4.116701866993018877e-01,1.332618242170300338e-01
8.817336999932361419e-01,2.470972360248387956e-01,4.123223515338007572e-01,1.330845410886747349e-01
8.729649006527134825e-01,2.451829267761407860e-01,4.129745163682995712e-01,1.329065074394089052e-01
8.643641093000820064e-01,2.432822664437812032e-01,4.136266812027984408e-01,1.327277256377928927e-01
8.559267582616225667e-01,2.413950262589012463e-01,4.142788460372972548e-01,1.325481980411918892e-01
8.476484370942419799e-01,2.395209825033972617e-01,4.149310108717961243e-01,1.323679269958470961e-01
8.395248860886609377e-01,2.376599163698125960e-01,4.155831757062949383e-01,1.321869148369452240e-01
8.315519900882945015e-01,2.358116138266286854e-01,4.162353405407938078e-01,1.320051638886878820e-01
8.237257725981389500e-01,2.339758654872343135e-01,4.168875053752926219e-01,1.318226764643605220e-01
8.160423901751947540e-01,2.321524664837137375e-01,4.175396702097914914e-01,1.316394548664006070e-01
8.084981270822059196e-01,2.303412163447189354e-01,4.181918350442903054e-01,1.314555013864653343e-01
8.010893901877755852e-01,2.285419188767238152e-01,4.188439998787891749e-01,1.312708183054984712e-01
7.938127041094669156e-01,2.267543820503314933e-01,4.194961647132879889e-01,1.310854078937980782e-01
7.866647065738026079e-01,2.249784178889626118e-01,4.201483295477868585e-01,1.308992724110812356e-01
7.796421439927553321e-01,2.232138423618833523e-01,4.208004943822856725e-01,1.307124141065507672e-01
7.727418672400016009e-01,2.214604752803804866e-01,4.214526592167845420e-01,1.305248352189600780e-01
7.659608276181749664e-01,2.197181401972599368e-01,4.221048240512833560e-01,1.303365379766774357e-01
7.592960730071195430e-01,2.179866643095086376e-01,4.227569888857822256e-01,1.301475245977505857e-01
7.527447441839181241e-01,2.162658783640025728e-01,4.234091537202810396e-01,1.299577972899700340e-01
7.463040713060020703e-01,2.145556165661533787e-01,4.240613185547799091e-01,1.297673582509326629e-01
7.399713705491063331e-01,2.128557164913788546e-01,4.247134833892787231e-01,1.295762096681034592e-01
7.337440408925445245e-01,2.111660189993448955e-01,4.253656482237775371e-01,1.293843537188792414e-01
7.276195610431442917e-01,2.094863681506000108e-01,4.260178130582764067e-01,1.291917925706482784e-01
7.215954864948320724e-01,2.078166111263126670e-01,4.266699778927752762e-01,1.289985283808536831e-01
7.156694467110072955e-01,2.061565981497195665e-01,4.273221427272740902e-01,1.288045632970526988e-01
7.098391424296512930e-01,2.045061824104530412e-01,4.279743075617729042e-01,1.286098994569775389e-01
7.041023430818865725e-01,2.028652199909572462e-01,4.286264723962717738e-01,1.284145389885948951e-01
6.984568843196204968e-01,2.012335697951508351e-01,4.292786372307706433e-01,1.282184840101658896e-01
6.929006656457753488e-01,1.996110934789844527e-01,4.299308020652694573e-01,1.280217366303049165e-01
6.874316481461558714e-01,1.979976553836781950e-01,4.305829668997682713e-01,1.278242989480375957e-01
6.820478523108544078e-01,1.963931224699719813e-01,4.312351317342671408e-01,1.276261730528589489e-01
6.767473559490380097e-01,1.947973642551012741e-01,4.318872965687660104e-01,1.274273610247915745e-01
6.715282921879888178e-01,1.932102527513749890e-01,4.325394614032648244e-01,1.272278649344426027e-01
6.663888475518215948e-01,1.916316624061450424e-01,4.331916262377636384e-01,1.270276868430597617e-01
6.613272601210442581e-01,1.900614700442073146e-01,4.338437910722625079e-01,1.268268288025884427e-01
6.563418177626541006e-01,1.884995548110739993e-01,4.344959559067613775e-01,1.266252928557276558e-01
6.514308564349290398e-01,1.869457981187569451e-01,4.351481207412601915e-01,1.264230810359849855e-01
6.465927585553730150e-01,1.854000835921275625e-01,4.358002855757590055e-01,1.262201953677316579e-01
6.418259514361998042e-01,1.838622970174871862e-01,4.364524504102578750e-01,1.260166378662577191e-01
6.371289057800632039e-01,1.823323262923010057e-01,4.371046152447567446e-01,1.258124105378259916e-01
