time,c,q_eps_0p10,q_eps_0p04,q_eps_0p015
0.000000000000000000e+00,2.000273631129652951e+00,1.828629513358606449e-16,1.967303174403731457e-16,0.000000000000000000e+00
3.750000000000000000e-01,2.000816386547632053e+00,5.511104106132498386e-16,4.942375959774592654e-16,0.000000000000000000e+00
7.500000000000000000e-01,2.002254840358986598e+00,5.211198694047715112e-16,1.427606603527180330e-17,0.000000000000000000e+00
1.125000000000000000e+00,2.005765346087471368e+00,2.358224323924298027e-16,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,2.013646603991441353e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.727768872883765086e-16
1.875000000000000000e+00,2.029902907588085892e+00,4.490209506378503210e-16,0.000000000000000000e+00,5.491993271138401159e-16
2.250000000000000000e+00,2.060658528643182663e+00,1.248650731784997531e-16,0.000000000000000000e+00,4.323320664985286452e-16
2.625000000000000000e+00,2.113909500639751027e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.086794381399751050e-16
3.000000000000000000e+00,2.198023917367125435e+00,1.784285982345981498e-16,0.000000000000000000e+00,4.946164308035507679e-16
3.375000000000000000e+00,2.318687456860872853e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.750000000000000000e+00,2.474790386420617327e+00,2.887921214485651422e-01,2.887921214485647536e-01,2.887921214485613675e-01
4.125000000000000000e+00,2.654829877245719949e+00,6.902230258778279115e-01,6.902230258778285776e-01,6.902230258778264682e-01
4.500000000000000000e+00,2.836073925067836399e+00,9.557389648554638351e-01,9.831977324779291871e-01,9.966991981028184844e-01
4.875000000000000000e+00,2.988212846522513289e+00,9.999999999999988898e-01,1.000000000000000000e+00,1.000000000000000000e+00
5.250000000000000000e+00,3.081299332220613252e+00,8.799532494507364966e-01,9.377073362889272179e-01,1.000000000000000000e+00
5.625000000000000000e+00,3.095294728722892241e+00,4.898019514113099993e-01,4.292178905693699864e-01,3.516130593235720636e-01
6.000000000000000000e+00,3.027083337482163294e+00,2.856777459869012936e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.375000000000000000e+00,2.891599862961813816e+00,3.925124007263293842e-16,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000000e+00,2.716512754793227735e+00,2.220446049255418983e-16,1.110223024624805990e-16,0.000000000000000000e+00
7.125000000000000000e+00,2.533049428162907901e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
