time,s_no,i_no
0.000000000000000000e+00,9.899999999999999911e-01,1.000000000000000021e-02
3.750000000000000000e-01,9.857720024369963641e-01,1.294436928724780611e-02
7.500000000000000000e-01,9.803278549454585988e-01,1.672831356214136284e-02
1.125000000000000000e+00,9.733352273799160681e-01,2.157749849386378371e-02
1.500000000000000000e+00,9.643738967941112294e-01,2.777692466088855713e-02
1.875000000000000000e+00,9.529032835813839863e-01,3.569547652561391726e-02
2.250000000000000000e+00,9.382052469533584960e-01,4.583138861396619801e-02
2.625000000000000000e+00,9.192863159109159188e-01,5.889137899417955929e-02
3.000000000000000000e+00,8.947293764836870000e-01,7.590916947737066933e-02
3.375000000000000000e+00,8.625173733735849169e-01,9.837738371383354663e-02
3.750000000000000000e+00,8.199391287508707160e-01,1.282861387566403555e-01
4.125000000000000000e+00,7.638571726221998759e-01,1.678116905889170118e-01
4.500000000000000000e+00,6.918013184361997414e-01,2.182529024334665946e-01
4.875000000000000000e+00,6.041422484862596365e-01,2.780609754799153732e-01
5.250000000000000000e+00,5.063162536947035663e-01,3.410484417556462478e-01
5.625000000000000000e+00,4.084272348369363814e-01,3.972938637644150561e-01
6.000000000000000000e+00,3.209648267038058833e-01,4.376145093477385450e-01
6.375000000000000000e+00,2.500351802934800416e-01,4.579798821063966741e-01
6.750000000000000000e+00,1.962560005833530186e-01,4.599709186780479575e-01
7.125000000000000000e+00,1.568847978777930530e-01,4.481542734458514587e-01
7.500000000000000000e+00,1.282875724338096157e-01,4.274363091888976895e-01
7.875000000000000000e+00,1.072860968992197656e-01,4.017633787067286244e-01
8.250000000000000000e+00,9.153050623651548534e-02,3.738778467610073819e-01
8.625000000000000000e+00,7.941796882376360445e-02,3.455253156922974411e-01
9.000000000000000000e+00,6.989187146735820200e-02,3.177508533261856338e-01
9.375000000000000000e+00,6.225746537468101333e-02,2.911475017382170738e-01
9.750000000000000000e+00,5.604844211884190547e-02,2.660301005611109271e-01
1.012500000000000000e+01,5.094084331875707583e-02,2.425459477940734576e-01
1.050000000000000000e+01,4.670093263858084154e-02,2.207416883260648610e-01
1.087500000000000000e+01,4.315442156370911941e-02,2.006029859757222367e-01
1.125000000000000000e+01,4.016808746545484643e-02,1.820783164571210533e-01
1.162500000000000000e+01,3.763831089298544375e-02,1.650937205616329895e-01
1.200000000000000000e+01,3.548349795492447556e-02,1.495623323164798346e-01
1.237500000000000000e+01,3.363879005080844253e-02,1.353907400057361154e-01
1.275000000000000000e+01,3.205221985705637711e-02,1.224833079074817144e-01
1.312500000000000000e+01,3.068184693429895291e-02,1.107451148039927391e-01
1.350000000000000000e+01,2.949359071137830704e-02,1.000839222461961386e-01
1.387500000000000000e+01,2.845957491297869749e-02,9.041145103295217256e-02
1.425000000000000000e+01,2.755685331518186593e-02,8.164416218718298368e-02
1.462500000000000000e+01,2.676642260589784036e-02,7.370368400606236436e-02
1.500000000000000000e+01,2.607245291495852157e-02,6.651698833042204995e-02
1.537500000000000000e+01,2.546168435893396767e-02,6.001639143788051189e-02
1.575000000000000000e+01,2.492295092805114909e-02,5.413943469804655823e-02
1.612500000000000000e+01,2.444680260511436498e-02,4.882868524283396489e-02
1.650000000000000000e+01,2.402520368940019163e-02,4.403148594150324557e-02
1.687500000000000000e+01,2.365129057019706854e-02,3.969967588133702097e-02
1.725000000000000000e+01,2.331917613688992003e-02,3.578929658057670993e-02
1.762500000000000000e+01,2.302379097495981658e-02,3.226029474566061150e-02
1.800000000000000000e+01,2.276075373463900056e-02,2.907622912380903799e-02
