time,c,s,i,q_piecewise
0.000000000000000000e+00,2.000273631129652951e+00,9.899999999999999911e-01,1.000000000000000021e-02,1.967303174403731457e-16
3.750000000000000000e-01,2.000816386547632053e+00,9.857720024369963641e-01,1.294436928724780438e-02,4.942375959774592654e-16
7.500000000000000000e-01,2.002254840358986598e+00,9.803278549454585988e-01,1.672831356214135937e-02,1.427606603527180330e-17
1.125000000000000000e+00,2.005765346087471368e+00,9.733352273799160681e-01,2.157749849386377677e-02,0.000000000000000000e+00
1.500000000000000000e+00,2.013646603991441353e+00,9.643738967941112294e-01,2.777692466088855019e-02,0.000000000000000000e+00
1.875000000000000000e+00,2.029902907588085892e+00,9.529032835813839863e-01,3.569547652561391032e-02,0.000000000000000000e+00
2.250000000000000000e+00,2.060658528643182663e+00,9.382052469533584960e-01,4.583138861396618413e-02,0.000000000000000000e+00
2.625000000000000000e+00,2.113909500639751027e+00,9.192863159109159188e-01,5.889137899417954541e-02,0.000000000000000000e+00
3.000000000000000000e+00,2.198023917367125435e+00,8.947293764836870000e-01,7.590916947737066933e-02,0.000000000000000000e+00
3.375000000000000000e+00,2.318687456860872853e+00,8.625173733735849169e-01,9.837738371383354663e-02,0.000000000000000000e+00
3.750000000000000000e+00,2.474790386420617327e+00,8.199391287508707160e-01,1.282861387566403555e-01,2.887921214485647536e-01
4.125000000000000000e+00,2.654829877245719949e+00,7.522723251856078264e-01,1.500000000000000500e-01,6.902230258778285776e-01
4.500000000000000000e+00,2.836073925067836399e+00,6.601421774877418436e-01,1.500000000000000500e-01,9.831977324779291871e-01
4.875000000000000000e+00,2.988212846522513289e+00,5.658163028132108252e-01,1.347939782943225473e-01,1.000000000000000000e+00
5.250000000000000000e+00,3.081299332220613252e+00,4.892823038297828830e-01,1.204515612784154560e-01,9.377073362889272179e-01
5.625000000000000000e+00,3.095294728722892241e+00,4.299880813954960468e-01,1.094343248166673443e-01,4.292178905693699864e-01
6.000000000000000000e+00,3.027083337482163294e+00,3.925504640531640721e-01,1.119192038269735401e-01,0.000000000000000000e+00
6.375000000000000000e+00,2.891599862961813816e+00,3.676709801594063021e-01,1.235390185551708125e-01,0.000000000000000000e+00
6.750000000000000000e+00,2.716512754793227735e+00,3.436395723556389670e-01,1.331113134144111809e-01,1.110223024624805990e-16
7.125000000000000000e+00,2.533049428162907901e+00,3.212723705802257301e-01,1.400858055953212722e-01,0.000000000000000000e+00
7.500000000000000000e+00,2.367113758540793977e+00,3.009428852479850702e-01,1.443894484422513225e-01,2.220446049250215952e-16
7.875000000000000000e+00,2.234057986014847508e+00,2.826568450719922909e-01,1.463035959297413757e-01,2.775557561562534391e-16
8.250000000000000000e+00,2.138145228697306166e+00,2.662126766050659787e-01,1.462742609106683078e-01,0.000000000000000000e+00
8.625000000000000000e+00,2.075481051054470338e+00,2.513475951792008001e-01,1.447568393991075231e-01,0.000000000000000000e+00
9.000000000000000000e+00,2.038179445054139283e+00,2.378241609535026446e-01,1.421338124891416976e-01,0.000000000000000000e+00
9.375000000000000000e+00,2.017877669627816228e+00,2.254602939908986747e-01,1.386945256269125903e-01,4.996003610812672937e-16
9.750000000000000000e+00,2.007749645322212118e+00,2.141255794752508768e-01,1.346487846327066862e-01,0.000000000000000000e+00
1.012500000000000000e+01,2.003109870961405026e+00,2.037254717140751514e-01,1.301502956041556136e-01,0.000000000000000000e+00
1.050000000000000000e+01,2.001155294045443789e+00,1.941860319269188284e-01,1.253170349167232744e-01,0.000000000000000000e+00
1.087500000000000000e+01,2.000397312587163245e+00,1.854436646829829283e-01,1.202447103815005719e-01,0.000000000000000000e+00
1.125000000000000000e+01,2.000126491614695023e+00,1.774397330944298412e-01,1.150141870945185357e-01,0.000000000000000000e+00
1.162500000000000000e+01,2.000037280417919838e+00,1.701184044026780029e-01,1.096950834674344788e-01,0.000000000000000000e+00
1.200000000000000000e+01,2.000010171603703757e+00,1.634261568133415776e-01,1.043474249858944020e-01,0.000000000000000000e+00
1.237500000000000000e+01,2.000002569139661457e+00,1.573119383377905023e-01,9.902251178185558778e-02,4.996003610812969746e-16
1.275000000000000000e+01,2.000000600724880062e+00,1.517274689023934975e-01,9.376356125123781748e-02,0.000000000000000000e+00
1.312500000000000000e+01,2.000000130032870249e+00,1.466274835577844882e-01,8.860633894951580602e-02,0.000000000000000000e+00
1.350000000000000000e+01,2.000000026056753200e+00,1.419698636709268158e-01,8.357982842253502964e-02,0.000000000000000000e+00
1.387500000000000000e+01,2.000000004833670797e+00,1.377156618159943169e-01,7.870693014046657721e-02,0.000000000000000000e+00
1.425000000000000000e+01,2.000000000830086666e+00,1.338290432774358885e-01,7.400516471005721963e-02,0.000000000000000000e+00
1.462500000000000000e+01,2.000000000131965106e+00,1.302771682865246639e-01,6.948735711667336501e-02,0.000000000000000000e+00
1.500000000000000000e+01,2.000000000019421798e+00,1.270300354263725895e-01,6.516228472670743121e-02,2.220446049250308644e-16
1.537500000000000000e+01,2.000000000002645884e+00,1.240603021430686237e-01,6.103527787123737974e-02,5.551115123125659443e-17
1.575000000000000000e+01,2.000000000000333955e+00,1.213430942570915688e-01,5.710876683964878631e-02,1.110223024625153705e-16
1.612500000000000000e+01,2.000000000000039080e+00,1.188558130598527107e-01,5.338277289188432528e-02,1.110223024625154568e-16
1.650000000000000000e+01,2.000000000000003997e+00,1.165779459821440489e-01,4.985534360379401120e-02,0.000000000000000000e+00
1.687500000000000000e+01,2.000000000000000444e+00,1.144908848326553208e-01,4.652293470252350654e-02,0.000000000000000000e+00
1.725000000000000000e+01,2.000000000000000000e+00,1.125777541135924570e-01,4.338074172574427761e-02,0.000000000000000000e+00
1.762500000000000000e+01,2.000000000000000000e+00,1.108232508244920145e-01,4.042298551724411021e-02,5.551115123125785167e-17
1.800000000000000000e+01,2.000000000000000000e+00,1.092134963771990291e-01,3.764315588747279423e-02,5.551115123125785167e-17
