N_eff,eta,eta_fraction,t,i,q,phase,tau
50000.0,100.0,0.002,0.0,2.01325646704e-08,0.323,pre-control,-11.387727143242069
50000.0,100.0,0.002,0.025,2.064823600079414e-08,0.323,pre-control,-11.362727143242068
50000.0,100.0,0.002,0.05,2.1177115627987966e-08,0.323,pre-control,-11.337727143242068
50000.0,100.0,0.002,0.07500000000000001,2.1719541864371054e-08,0.323,pre-control,-11.31272714324207
50000.0,100.0,0.002,0.1,2.2275861693118245e-08,0.323,pre-control,-11.28772714324207
50000.0,100.0,0.002,0.125,2.2846430978262732e-08,0.323,pre-control,-11.262727143242069
50000.0,100.0,0.002,0.15000000000000002,2.343161470571323e-08,0.323,pre-control,-11.237727143242068
50000.0,100.0,0.002,0.17500000000000002,2.403178720300704e-08,0.323,pre-control,-11.212727143242068
50000.0,100.0,0.002,0.2,2.4647332392832016e-08,0.323,pre-control,-11.18772714324207
50000.0,100.0,0.002,0.225,2.5278644024181173e-08,0.323,pre-control,-11.16272714324207
50000.0,100.0,0.002,0.25,2.592612593902822e-08,0.323,pre-control,-11.137727143242069
50000.0,100.0,0.002,0.275,2.6590192315475244e-08,0.323,pre-control,-11.112727143242068
50000.0,100.0,0.002,0.30000000000000004,2.727126794826427e-08,0.323,pre-control,-11.087727143242068
50000.0,100.0,0.002,0.325,2.796978850454025e-08,0.323,pre-control,-11.06272714324207
50000.0,100.0,0.002,0.35000000000000003,2.8686200818916563e-08,0.323,pre-control,-11.03772714324207
50000.0,100.0,0.002,0.375,2.9420963162507755e-08,0.323,pre-control,-11.012727143242069
50000.0,100.0,0.002,0.4,3.0174545553304044e-08,0.323,pre-control,-10.987727143242068
50000.0,100.0,0.002,0.42500000000000004,3.094743003916243e-08,0.323,pre-control,-10.962727143242068
50000.0,100.0,0.002,0.45,3.174011102428438e-08,0.323,pre-control,-10.93772714324207
50000.0,100.0,0.002,0.47500000000000003,3.255309556688949e-08,0.323,pre-control,-10.91272714324207
50000.0,100.0,0.002,0.5,3.338690372263193e-08,0.323,pre-control,-10.887727143242069
50000.0,100.0,0.002,0.525,3.424206885771833e-08,0.323,pre-control,-10.862727143242068
50000.0,100.0,0.002,0.55,3.511913801014185e-08,0.323,pre-control,-10.837727143242068
50000.0,100.0,0.002,0.5750000000000001,3.6018672219045646e-08,0.323,pre-control,-10.81272714324207
50000.0,100.0,0.002,0.6000000000000001,3.694124690469889e-08,0.323,pre-control,-10.78772714324207
50000.0,100.0,0.002,0.625,3.7887452214948724e-08,0.323,pre-control,-10.762727143242069
50000.0,100.0,0.002,0.65,3.8857893424910655e-08,0.323,pre-control,-10.737727143242068
50000.0,100.0,0.002,0.675,3.9853191301395556e-08,0.323,pre-control,-10.712727143242068
50000.0,100.0,0.002,0.7000000000000001,4.0873982523337275e-08,0.323,pre-control,-10.68772714324207
50000.0,100.0,0.002,0.7250000000000001,4.192092006512728e-08,0.323,pre-control,-10.66272714324207
50000.0,100.0,0.002,0.75,4.2994673638855404e-08,0.323,pre-control,-10.637727143242069
50000.0,100.0,0.002,0.775,4.409593009753306e-08,0.323,pre-control,-10.612727143242068
50000.0,100.0,0.002,0.8,4.522539390027893e-08,0.323,pre-control,-10.587727143242068
50000.0,100.0,0.002,0.8250000000000001,4.6383787536462635e-08,0.323,pre-control,-10.56272714324207
50000.0,100.0,0.002,0.8500000000000001,4.7571852015025607e-08,0.323,pre-control,-10.53772714324207
50000.0,100.0,0.002,0.875,4.879034731063078e-08,0.323,pre-control,-10.512727143242069
50000.0,100.0,0.002,0.9,5.004005287837102e-08,0.323,pre-control,-10.487727143242068
50000.0,100.0,0.002,0.925,5.132176812306625e-08,0.323,pre-control,-10.462727143242068
50000.0,100.0,0.002,0.9500000000000001,5.2636312940676664e-08,0.323,pre-control,-10.43772714324207
50000.0,100.0,0.002,0.9750000000000001,5.3984528211948434e-08,0.323,pre-control,-10.41272714324207
