metric,expectation,minimum,maximum,range_or_max_abs,tolerance,passed
t1,invariant,16.896690032843228,16.896690032843228,0.0,1e-05,True
t2,invariant,101.96776719922717,101.9677671992272,2.842170943040401e-14,1e-05,True
control_duration,invariant,85.07107716638394,85.07107716638397,2.842170943040401e-14,1e-05,True
J,invariant,40.76864984009253,40.76864984009255,2.1316282072803006e-14,1e-05,True
q_start,invariant,0.845359850585948,0.8453598505859481,1.1102230246251565e-16,1e-10,True
q_max_theory,invariant,0.845359850585948,0.8453598505859481,1.1102230246251565e-16,1e-10,True
cum_fraction_t2,invariant,0.16087013825970703,0.16087013825970706,2.7755575615628914e-17,1e-08,True
clear_time_fractional,invariant,254.35268957129307,254.35268957129313,5.684341886080802e-14,1e-05,True
max_i_collapse_error,zero,0.0,2.1071310148113032e-10,2.1071310148113032e-10,1e-07,True
max_q_collapse_error,zero,0.0,3.3306690738754696e-16,3.3306690738754696e-16,1e-07,True
