eta,eta_fraction,c0,t1,t2,control_duration,clear_time,peak_I,cum_total_infections,q_start,q_mean_control,q_min_theory,q_max_theory,J_c,J_q,J,raw_c_cost,raw_q_cost,w_c,w_q,plateau_max_error,q_was_clipped,status,S_star,Sc,Sbar,S_end,C2,clear_time_method,N_eff,eta_scenario,eta_scenario_label,I0_fit,I0_fraction,S0_fit,fit_objective,fit_raw_rmse,cum_total_fraction,clear_tail_duration
100.0,0.002,12.8872,11.131236973843254,96.20231934973467,85.07108237589141,176.20010597274646,100.0,9028.204011337184,0.8453598686198525,0.6132033092271824,0.323,0.8453598686198525,0.0,36.4666316470043,40.25276081296528,0.0,24.687909625021913,1.0,2.0,0.0,0.0,ok,49458.4907410057,11297.293214258392,6502.557033646203,8507.436942398348,-22393.15761806671,phase_formula,50000.0,eta100,$\eta=100$,0.0013085564730700168,2.6171129461400335e-08,49999.99869144353,2953.1065989043536,10.350577693481037,0.18056408022674367,79.99778662301179
520.0,0.0104,12.8872,12.821894211340439,28.77217804581356,15.950283834473122,78.60275777374775,520.0,10446.31141890529,0.8378374729318654,0.6071008683935475,0.323,0.8378374729318654,0.0,6.693485211960673,7.263186791303145,0.0,4.531489488497377,1.0,2.0,0.0,0.0,ok,47164.21015589758,11297.293214258392,6502.557033646203,5658.71802719204,-21973.15761806671,phase_formula,50000.0,eta520,$\eta=520$,0.0013085564730700168,2.6171129461400335e-08,49999.99869144353,2953.1065989043536,10.350577693481037,0.20892622837810582,49.83057972793419
100.0,0.002,12.8872,11.131236973843254,96.20231934973467,85.07108237589141,176.20010597274646,100.0,9028.204011337184,0.8453598686198525,0.6132033092271824,0.323,0.8453598686198525,0.0,36.4666316470043,40.25276081296528,0.0,24.687909625021913,1.0,2.0,0.0,0.0,ok,49458.4907410057,11297.293214258392,6502.557033646203,8507.436942398348,-22393.15761806671,phase_formula,50000.0,eta_fraction_0p002,$\eta=0.002N_{\rm eff}$,0.0013085564730700168,2.6171129461400335e-08,49999.99869144353,2953.1065989043536,10.350577693481037,0.18056408022674367,79.99778662301179
100.0,0.001,12.8872,11.259137484877034,181.88925161727462,170.63011413239758,292.6403998430337,100.0,17420.4884636428,0.8462024874455766,0.6153950327654376,0.323,0.8462024874455766,0.0,73.69482690179133,81.67740705492339,0.0,49.89139781251273,1.0,2.0,0.0,0.0,ok,99458.92334697524,22594.586428516785,13005.114067292407,18539.34275075559,-48628.62751137903,phase_formula,100000.0,eta100,$\eta=100$,0.0011424128465886117,1.1424128465886117e-08,99999.99885758715,1054.968479701222,9.340117890326502,0.174204884636428,110.7511482257591
520.0,0.0052,12.8872,12.91854709968413,45.33282355192806,32.41427645224393,112.08469860383742,520.0,19406.169307206517,0.8425905939615892,0.6130465492251278,0.323,0.8425905939615892,0.0,13.887221610934512,15.27397776998495,0.0,9.401649030602664,1.0,2.0,0.0,0.0,ok,97176.75326449826,22594.586428516785,13005.114067292407,14079.419744214218,-48208.62751137903,phase_formula,100000.0,eta520,$\eta=520$,0.0011424128465886117,1.1424128465886117e-08,99999.99885758715,1054.968479701222,9.340117890326502,0.19406169307206517,66.75187505190937
200.0,0.002,12.8872,11.951342474610716,97.02242190642765,85.07107943181694,186.51317935345884,200.0,18060.90719410694,0.8453598584282639,0.6157211322161888,0.323,0.8453598584282639,0.0,36.78301726755508,40.7409999773143,0.0,24.902102690134797,1.0,2.0,0.0,0.0,ok,98916.97496286852,22594.586428516785,13005.114067292407,17002.131568058543,-48528.62751137903,phase_formula,100000.0,eta_fraction_0p002,$\eta=0.002N_{\rm eff}$,0.0011424128465886117,1.1424128465886117e-08,99999.99885758715,1054.968479701222,9.340117890326502,0.18060907194106943,89.49075744703119
100.0,0.0003333333333333333,12.8872,11.339938604591499,524.1997996191097,512.8598610145183,711.9608218099793,100.0,50320.56848272223,0.8467584111344344,0.6166293970999597,0.323,0.8467584111344344,0.0,222.43830396818623,247.1222055070431,0.0,150.5907317864621,1.0,2.0,0.0,0.0,ok,299459.20931800833,67783.75928555035,39015.34220187722,60562.923207318825,-163880.15640089536,phase_formula,300000.0,eta100,$\eta=100$,0.001048350048272717,3.4945001609090564e-09,299999.99895164993,857.7256238208438,9.284383700740067,0.16773522827574075,187.76102219086954
520.0,0.0017333333333333333,12.8872,12.979346775950226,111.21357054731928,98.23422377136905,220.78352654559092,520.0,53739.396003385715,0.8455855888243408,0.6159924998548665,0.323,0.8455855888243408,0.0,42.51387118770422,47.11925934605429,0.0,28.78189079407576,1.0,2.0,0.0,0.0,ok,297184.72963067127,67783.75928555035,39015.34220187722,52040.58680848281,-163460.15640089536,phase_formula,300000.0,eta520,$\eta=520$,0.001048350048272717,3.4945001609090564e-09,299999.99895164993,857.7256238208438,9.284383700740067,0.1791313200112857,109.56995599827164
600.0,0.002,12.8872,13.122646927959916,98.1937247767148,85.07107784875488,202.70189037322203,600.0,54191.69698253369,0.8453598529481314,0.6131769238250657,0.323,0.8453598529481314,0.0,36.4633141456933,40.24764161330097,0.0,24.685663676634363,1.0,2.0,0.0,0.0,ok,296750.914372356,67783.75928555035,39015.34220187722,50980.974235479276,-163380.15640089536,phase_formula,300000.0,eta_fraction_0p002,$\eta=0.002N_{\rm eff}$,0.001048350048272717,3.4945001609090564e-09,299999.99895164993,857.7256238208438,9.284383700740067,0.180638989941779,104.50816559650723
100.0,0.0001,12.8872,11.367336419236562,1722.027334809364,1710.6599983901274,2060.3744317083388,100.0,163744.17499537952,0.8469518981403319,0.617021120952098,0.323,0.8469518981403319,0.0,742.9396902431008,826.027696454126,0.0,502.97017029457925,1.0,2.0,0.0,0.0,ok,999459.3089518654,225945.86428516783,130051.14067292407,212537.71646506398,-611503.1979835926,phase_formula,1000000.0,eta100,$\eta=100$,0.00101819860360335,1.01819860360335e-09,999999.9989818014,968.6511592640418,9.375695919432076,0.16374417499537952,338.34709689897477
520.0,0.00052,12.8872,12.999881812956476,341.5825104134367,328.58262860048023,535.2579680570917,520.0,169974.94771041977,0.8466032142040449,0.6168447629786573,0.323,0.8466032142040449,0.0,142.61785025112596,158.45718792781304,0.0,96.55228462001227,1.0,2.0,0.0,0.0,ok,997187.4529661249,225945.86428516783,130051.14067292407,196047.86591877486,-611083.1979835926,phase_formula,1000000.0,eta520,$\eta=520$,0.00101819860360335,1.01819860360335e-09,999999.9989818014,968.6511592640418,9.375695919432076,0.16997494771041977,193.67545764365502
2000.0,0.002,12.8872,14.341793893573389,99.41287124796216,85.07107735438878,220.3632510115787,2000.0,180649.44607921044,0.8453598512367699,0.6138497406056319,0.323,0.8453598512367699,0.0,36.54785935238642,40.37810366164061,0.0,24.74290078156561,1.0,2.0,0.0,0.0,ok,989169.703627641,225945.86428516783,130051.14067292407,169906.9638018778,-609603.1979835926,phase_formula,1000000.0,eta_fraction_0p002,$\eta=0.002N_{\rm eff}$,0.00101819860360335,1.01819860360335e-09,999999.9989818014,968.6511592640418,9.375695919432076,0.18064944607921044,120.95037976361655
100.0,3.3333333333333335e-05,12.8872,11.375085902477,5144.320061019419,5132.944975116942,5726.468801752072,100.0,485107.2853076048,0.8470070773605769,0.6171293332123897,0.323,0.8470070773605769,0.0,2230.058615874493,2480.001482568158,0.0,1509.7496829470322,1.0,2.0,0.0,0.0,ok,2999459.3373754392,677837.5928555035,390153.4220187722,654413.4277928817,-2012652.3326183609,phase_formula,3000000.0,eta100,$\eta=100$,0.0010098301994214316,3.366100664738105e-10,2999999.9989901697,1016.4399858283722,9.411423332464008,0.16170242843586827,582.1487407326531
520.0,0.00017333333333333334,12.8872,13.005689549402792,999.7206742793251,986.7149847299223,1329.7463428748986,520.0,495895.04344183055,0.8468911473181697,0.6168064595220789,0.323,0.8468911473181697,0.0,428.21748333955776,475.93306910152916,0.0,289.9032362208807,1.0,2.0,0.0,0.0,ok,2997188.224751383,677837.5928555035,390153.4220187722,625012.4935840537,-2012232.3326183609,phase_formula,3000000.0,eta520,$\eta=520$,0.0010098301994214316,3.366100664738105e-10,2999999.9989901697,1016.4399858283722,9.411423332464008,0.1652983478139435,330.0256685955735
6000.0,0.002,12.8872,15.435932261978294,100.50700948029552,85.07107721831723,236.45621083290646,6000.0,541957.2978875225,0.845359850765727,0.6141387578189311,0.323,0.845359850765727,0.0,36.58417687985118,40.43414628865512,0.0,24.767487747659253,1.0,2.0,0.0,0.0,ok,2967509.1018437156,677837.5928555035,390153.4220187722,509695.51688662637,-2006752.3326183609,phase_formula,3000000.0,eta_fraction_0p002,$\eta=0.002N_{\rm eff}$,0.0010098301994214316,3.366100664738105e-10,2999999.9989901697,1016.4399858283722,9.411423332464008,0.18065243262917416,135.94920135261094
100.0,7.597052343690648e-06,12.8872,11.378062781431224,22534.663558636756,22523.285495855325,23748.32147123961,100.0,2109306.4442905784,0.8470283667848927,0.6171706717080067,0.323,0.8470283667848927,0.0,9786.839030113682,10884.647629022093,0.0,6625.690023386966,1.0,2.0,0.0,0.0,ok,13162459.348343061,2974125.4115856644,1711863.1646776996,2924758.332178822,-9882126.927778926,phase_formula,13163000.0,eta100,$\eta=100$,0.0010066282336470538,7.647407381653528e-11,13162999.998993373,1036.7614051472922,9.426315720176671,0.16024511466159524,1213.6579126028555
520.0,3.950467218719137e-05,12.8872,13.007922649713729,4344.019403835711,4331.011481185998,5027.379063002812,520.0,2131901.535195876,0.847001971112734,0.6170972164388457,0.323,0.847001971112734,0.0,1881.4452304010101,2092.2120115226985,0.0,1273.738420981484,1.0,2.0,0.0,0.0,ok,13160188.521952104,2974125.4115856644,1711863.1646776996,2861904.690006051,-9881706.927778926,phase_formula,13163000.0,eta520,$\eta=520$,0.0010066282336470538,7.647407381653528e-11,13162999.998993373,1036.7614051472922,9.426315720176671,0.1619616755447752,683.3596591671003
26326.0,0.002,12.8872,16.900891672675296,101.97196883905926,85.07107716638396,258.10849962830775,26326.0,2377943.137838504,0.8453598505859481,0.6155662375623159,0.323,0.8453598505859481,0.0,36.76355239577902,40.71096164072428,0.0,24.888924971942405,1.0,2.0,0.0,0.0,ok,13020440.754052531,2974125.4115856644,1711863.1646776996,2236331.0553641412,-9855900.927778926,phase_formula,13163000.0,eta_fraction_0p002,$\eta=0.002N_{\rm eff}$,0.0010066282336470538,7.647407381653528e-11,13162999.998993373,1036.7614051472922,9.426315720176671,0.180653584884791,156.1365307892485
