N_eff,eta,eta_fraction,t,I,q,phase
40000.0,100.0,0.0025,0.0,0.0014045524933739035,0.323,pre-control
40000.0,100.0,0.0025,0.02498133459843536,0.001440501251435286,0.323,pre-control
40000.0,100.0,0.0025,0.04996266919687072,0.0014773701187864893,0.323,pre-control
40000.0,100.0,0.0025,0.07017573570210162,0.001507965200139892,0.323,pre-control
40000.0,100.0,0.0025,0.07494400379530608,0.001515182588465838,0.323,pre-control
40000.0,100.0,0.0025,0.09992533839374144,0.0015539627997947748,0.323,pre-control
40000.0,100.0,0.0025,0.12490667299217681,0.0015937355383778614,0.323,pre-control
40000.0,100.0,0.0025,0.14035147140420323,0.0016189545314210393,0.323,pre-control
40000.0,100.0,0.0025,0.14988800759061216,0.0016345262361027778,0.323,pre-control
40000.0,100.0,0.0025,0.17486934218904754,0.001676360971140322,0.323,pre-control
40000.0,100.0,0.0025,0.1998506767874829,0.0017192664679444112,0.323,pre-control
40000.0,100.0,0.0025,0.21052720710630485,0.0017380798360520891,0.323,pre-control
40000.0,100.0,0.0025,0.22483201138591824,0.0017632866720357057,0.323,pre-control
40000.0,100.0,0.0025,0.24981334598435362,0.0018085219379730597,0.323,pre-control
40000.0,100.0,0.0025,0.274794680582789,0.0018549926322785101,0.323,pre-control
40000.0,100.0,0.0025,0.28070294280840646,0.0018662780525077755,0.323,pre-control
40000.0,100.0,0.0025,0.2997760151812243,0.001902709684783194,0.323,pre-control
40000.0,100.0,0.0025,0.3247573497796597,0.0019516859860143948,0.323,pre-control
40000.0,100.0,0.0025,0.3497386843780951,0.0020019363871955414,0.323,pre-control
40000.0,100.0,0.0025,0.3508786785105081,0.002004288415035491,0.323,pre-control
40000.0,100.0,0.0025,0.3747200189765304,0.0020534777002462093,0.323,pre-control
40000.0,100.0,0.0025,0.3997013535749658,0.0021063286977821187,0.323,pre-control
40000.0,100.0,0.0025,0.4210544142126097,0.002152640837050761,0.323,pre-control
40000.0,100.0,0.0025,0.42468268817340116,0.002160510113115136,0.323,pre-control
40000.0,100.0,0.0025,0.4496640227718365,0.002216044640253275,0.323,pre-control
40000.0,100.0,0.0025,0.47464535737027186,0.002272956933900693,0.323,pre-control
40000.0,100.0,0.0025,0.4912301499147113,0.002311672638307247,0.323,pre-control
40000.0,100.0,0.0025,0.49962669196870724,0.0023312736094576944,0.323,pre-control
40000.0,100.0,0.0025,0.5246080265671426,0.002391023243020729,0.323,pre-control
40000.0,100.0,0.0025,0.549589361165578,0.0024522363713823936,0.323,pre-control
40000.0,100.0,0.0025,0.5614058856168129,0.002481898672031102,0.323,pre-control
40000.0,100.0,0.0025,0.5745706957640133,0.0025149454920314293,0.323,pre-control
40000.0,100.0,0.0025,0.5995520303624486,0.0025791850631527234,0.323,pre-control
40000.0,100.0,0.0025,0.6245333649608841,0.002644991503627311,0.323,pre-control
40000.0,100.0,0.0025,0.6315816213189145,0.002664011098700688,0.323,pre-control
40000.0,100.0,0.0025,0.6495146995593194,0.00271240319303237,0.323,pre-control
40000.0,100.0,0.0025,0.6744960341577547,0.002781460471641226,0.323,pre-control
40000.0,100.0,0.0025,0.6994773687561902,0.0028522056404233502,0.323,pre-control
40000.0,100.0,0.0025,0.7017573570210162,0.002858820476785707,0.323,pre-control
40000.0,100.0,0.0025,0.7244587033546255,0.002924682961044359,0.323,pre-control
40000.0,100.0,0.0025,0.7494400379530608,0.0029989386558660165,0.323,pre-control
40000.0,100.0,0.0025,0.7719330927231178,0.0030674426926029785,0.323,pre-control
40000.0,100.0,0.0025,0.7744213725514962,0.0030750209079462316,0.323,pre-control
40000.0,100.0,0.0025,0.7994027071499316,0.0031529798610390567,0.323,pre-control
40000.0,100.0,0.0025,0.8243840417483669,0.0032328676195946936,0.323,pre-control
40000.0,100.0,0.0025,0.8421088284252194,0.0032909565672178745,0.323,pre-control
40000.0,100.0,0.0025,0.8493653763468023,0.0033147382487594876,0.323,pre-control
40000.0,100.0,0.0025,0.8743467109452376,0.0033986477743759326,0.323,pre-control
40000.0,100.0,0.0025,0.899328045543673,0.0034846541829826644,0.323,pre-control
40000.0,100.0,0.0025,0.912284564127321,0.00353037986820648,0.323,pre-control
