N_eff,eta,eta_fraction,t,I,q,phase
50000.0,80.0,0.0016,0.0,0.0013085564730700168,0.323,pre-control
50000.0,80.0,0.0016,0.02496350136484156,0.0013420240560798608,0.323,pre-control
50000.0,80.0,0.0016,0.04992700272968312,0.0013763476255439484,0.323,pre-control
50000.0,80.0,0.0016,0.07098037119215239,0.0014060352838661822,0.323,pre-control
50000.0,80.0,0.0016,0.07489050409452468,0.0014115490186306255,0.323,pre-control
50000.0,80.0,0.0016,0.09985400545936624,0.0014476506740158852,0.323,pre-control
50000.0,80.0,0.0016,0.1248175068242078,0.0014846756318833683,0.323,pre-control
50000.0,80.0,0.0016,0.14196074238430478,0.0015107521526341989,0.323,pre-control
50000.0,80.0,0.0016,0.14978100818904935,0.0015226475339243618,0.323,pre-control
50000.0,80.0,0.0016,0.17474450955389093,0.0015615906233378005,0.323,pre-control
50000.0,80.0,0.0016,0.19970801091873247,0.001601529744830266,0.323,pre-control
50000.0,80.0,0.0016,0.21294111357645717,0.0016232477131943887,0.323,pre-control
50000.0,80.0,0.0016,0.22467151228357402,0.0016424994665140077,0.323,pre-control
50000.0,80.0,0.0016,0.2496350136484156,0.0016845999669302246,0.323,pre-control
50000.0,80.0,0.0016,0.27459851501325716,0.0017278585717672953,0.323,pre-control
50000.0,80.0,0.0016,0.28392148476860957,0.0017444499688383348,0.323,pre-control
50000.0,80.0,0.0016,0.2995620163780987,0.0017722842616811492,0.323,pre-control
50000.0,80.0,0.0016,0.32452551774294025,0.001817887879826975,0.323,pre-control
50000.0,80.0,0.0016,0.34948901910778185,0.0018646821318592192,0.323,pre-control
50000.0,80.0,0.0016,0.35490185596076196,0.0018750898551240234,0.323,pre-control
50000.0,80.0,0.0016,0.3744525204726234,0.0019126815859315859,0.323,pre-control
50000.0,80.0,0.0016,0.39941602183746494,0.001961902672697038,0.323,pre-control
50000.0,80.0,0.0016,0.4243795232023065,0.0020123636853077963,0.323,pre-control
50000.0,80.0,0.0016,0.42588222715291435,0.002015477090407076,0.323,pre-control
50000.0,80.0,0.0016,0.44934302456714803,0.0020640847794153394,0.323,pre-control
50000.0,80.0,0.0016,0.47430652593198963,0.002117087973170405,0.323,pre-control
50000.0,80.0,0.0016,0.49686259834506674,0.002166159681690819,0.323,pre-control
50000.0,80.0,0.0016,0.4992700272968312,0.002171397147222988,0.323,pre-control
50000.0,80.0,0.0016,0.5242335286616727,0.002227038044722342,0.323,pre-control
50000.0,80.0,0.0016,0.5491970300265143,0.002284038271316978,0.323,pre-control
50000.0,80.0,0.0016,0.5678429695372191,0.0023276506713026624,0.323,pre-control
50000.0,80.0,0.0016,0.5741605313913558,0.0023424272951546666,0.323,pre-control
50000.0,80.0,0.0016,0.5991240327561974,0.002402236446882435,0.323,pre-control
50000.0,80.0,0.0016,0.624087534121039,0.0024634989196465687,0.323,pre-control
50000.0,80.0,0.0016,0.6388233407293715,0.002500540373424676,0.323,pre-control
50000.0,80.0,0.0016,0.6490510354858805,0.002526249769092613,0.323,pre-control
50000.0,80.0,0.0016,0.6740145368507221,0.0025905259133653692,0.323,pre-control
50000.0,80.0,0.0016,0.6989780382155637,0.002656366133108898,0.323,pre-control
50000.0,80.0,0.0016,0.7098037119215239,0.0026856143096810558,0.323,pre-control
50000.0,80.0,0.0016,0.7239415395804052,0.002723811071466517,0.323,pre-control
50000.0,80.0,0.0016,0.7489050409452468,0.0027929032340808057,0.323,pre-control
50000.0,80.0,0.0016,0.7738685423100883,0.002863686989093596,0.323,pre-control
50000.0,80.0,0.0016,0.7807840831136763,0.0028837773572207293,0.323,pre-control
50000.0,80.0,0.0016,0.7988320436749299,0.0029362085671459817,0.323,pre-control
50000.0,80.0,0.0016,0.8237955450397715,0.003010516061378315,0.323,pre-control
50000.0,80.0,0.0016,0.848759046404613,0.0030866594274302035,0.323,pre-control
50000.0,80.0,0.0016,0.8517644543058287,0.0030960537487173564,0.323,pre-control
50000.0,80.0,0.0016,0.8737225477694546,0.003164690483440516,0.323,pre-control
50000.0,80.0,0.0016,0.8986860491342961,0.003244662910047377,0.323,pre-control
50000.0,80.0,0.0016,0.9227448254979811,0.0033236615248296536,0.323,pre-control
50000.0,80.0,0.0016,0.9236495504991377,0.0033266322503881715,0.323,pre-control
50000.0,80.0,0.0016,0.9486130518639793,0.00341065591009954,0.323,pre-control
50000.0,80.0,0.0016,0.9735765532288208,0.003496793157317383,0.323,pre-control
50000.0,80.0,0.0016,0.9937251966901335,0.0035680718724859987,0.323,pre-control
50000.0,80.0,0.0016,0.9985400545936624,0.00358510512267686,0.323,pre-control
50000.0,80.0,0.0016,1.023503555958504,0.003675654799312384,0.323,pre-control
50000.0,80.0,0.0016,1.0484670573233454,0.0037685070428576323,0.323,pre-control
