method,label,t,community_new_obs,quarantine_new_obs,community_cum_obs,quarantine_cum_obs,community_new_pred,quarantine_new_pred,community_cum_pred,quarantine_cum_pred,I_pred,Iq_pred
sqrt_daily,daily sqrt residual,0.0,1.0,0.0,1.0,0.0,0.0021587688659172603,0.001032594494171162,0.0021587688659172603,0.001032594494171162,0.0026278817425103235,0.000895695882536166
sqrt_daily,daily sqrt residual,1.0,0.0,0.0,1.0,0.0,0.005860922312371165,0.002841133475915564,0.008019691178288425,0.0038737279700867258,0.0071522774721854785,0.003092754429872048
sqrt_daily,daily sqrt residual,2.0,0.0,0.0,1.0,0.0,0.01555460276972789,0.007732003889376713,0.023574293948016314,0.011605731859463439,0.019107090747109156,0.008875113600254898
sqrt_daily,daily sqrt residual,3.0,1.0,0.0,2.0,0.0,0.040047985439222764,0.020646247299226775,0.06362227938723908,0.032251979158690214,0.049682314683526796,0.024120777339828887
sqrt_daily,daily sqrt residual,4.0,1.0,0.0,3.0,0.0,0.09921643721934731,0.053606302216246404,0.1628387166065864,0.08585828137493662,0.12474428227207117,0.06334300486269637
sqrt_daily,daily sqrt residual,5.0,0.0,0.0,3.0,0.0,0.2347393670785865,0.13418676984300384,0.3975780836851729,0.22004505121794046,0.3002554931574481,0.16051217344315877
sqrt_daily,daily sqrt residual,6.0,1.0,3.0,4.0,3.0,0.5268903956234853,0.3213694460105778,0.9244684793086582,0.5414144972285183,0.6884162901651928,0.3902382225941795
sqrt_daily,daily sqrt residual,7.0,2.0,2.0,6.0,5.0,1.1156685890171132,0.7314750935045077,2.0401370683257714,1.272889590733026,1.4954578865884112,0.9047656665427434
sqrt_daily,daily sqrt residual,8.0,3.0,4.0,9.0,9.0,2.2183647018730444,1.573491844187764,4.258501770198816,2.84638143492079,3.0647644412380473,1.989897568028031
sqrt_daily,daily sqrt residual,9.0,5.0,5.0,14.0,14.0,4.127500665548656,3.184749695619785,8.386002435747471,6.031131130540575,5.906548075966487,4.1341378467016066
sqrt_daily,daily sqrt residual,10.0,8.0,13.0,22.0,27.0,7.168802135139954,6.045412600610484,15.554804570887425,12.076543731151059,10.68249995512221,8.0885823685221
sqrt_daily,daily sqrt residual,11.0,21.0,21.0,43.0,48.0,11.607106641733191,10.740434124970054,27.161911212620616,22.816977856121113,18.11180107122133,14.875235098850288
sqrt_daily,daily sqrt residual,12.0,31.0,21.0,74.0,69.0,17.513546059762618,17.84256643475696,44.675457272383234,40.659544290878074,28.78571399663501,25.692170506635147
sqrt_daily,daily sqrt residual,13.0,35.0,28.0,109.0,97.0,24.641057762823742,27.719070993544705,69.31651503520698,68.37861528442278,42.9226762891254,41.68258061910589
sqrt_daily,daily sqrt residual,14.0,22.0,27.0,131.0,124.0,32.37497195013772,40.31247791824329,101.6914869853447,108.69109320266607,60.145503036366755,63.58817712137874
sqrt_daily,daily sqrt residual,15.0,24.0,51.0,155.0,175.0,39.808290962428245,54.98552390257605,141.49977794777294,163.67661710524212,79.38360209796927,91.37787645112013
sqrt_daily,daily sqrt residual,16.0,59.0,96.0,214.0,271.0,45.9377689183176,70.51995089372386,187.43754686609054,234.19656799896597,98.97207879216829,123.99067149343239
sqrt_daily,daily sqrt residual,17.0,42.0,109.0,256.0,380.0,49.915235931062966,85.30595949459547,237.3527827971535,319.50252749356144,116.94321911317817,159.31883482916882
sqrt_daily,daily sqrt residual,18.0,57.0,117.0,313.0,497.0,51.25803286021886,97.6749513619273,288.61081565737237,417.17747885548874,131.42386479825737,194.4792206764827
sqrt_daily,daily sqrt residual,19.0,60.0,91.0,373.0,588.0,49.942535780718515,106.26434257020833,338.5533514380909,523.4418214256971,141.00911989353773,226.31001588374238
sqrt_daily,daily sqrt residual,20.0,58.0,97.0,431.0,685.0,46.35966419833744,110.2899249252929,384.9130156364283,633.73174635099,144.99935251034162,251.94571230969788
sqrt_daily,daily sqrt residual,21.0,54.0,107.0,485.0,792.0,41.16984836659458,109.64950355804694,426.0828640030229,743.3812499090369,143.44946524249224,269.3039129033675
sqrt_daily,daily sqrt residual,22.0,33.0,141.0,518.0,933.0,35.12254816135339,104.85140440860437,461.2054121643763,848.2326543176413,137.04928940105083,277.3630822628897
sqrt_daily,daily sqrt residual,23.0,22.0,100.0,540.0,1033.0,28.90135537231714,96.82217203131756,490.10676753669344,945.0548263489588,126.90148371253134,276.19359413060204
sqrt_daily,daily sqrt residual,24.0,9.0,81.0,549.0,1114.0,23.02868422251737,86.6721477295182,513.1354517592108,1031.726974078477,114.27511484838959,266.7820776483353
sqrt_daily,daily sqrt residual,25.0,10.0,85.0,559.0,1199.0,17.834013130297308,75.48727556536437,530.9694648895081,1107.2142496438414,100.3959740270083,250.73379866709544
sqrt_daily,daily sqrt residual,26.0,4.0,31.0,563.0,1230.0,13.470147569866413,64.18615051837742,544.4396124593745,1171.4004001622188,86.30537283281747,229.9451712446655
sqrt_daily,daily sqrt residual,27.0,2.0,61.0,565.0,1291.0,9.95518667130682,53.45083179529752,554.3947991306813,1224.8512319575163,72.79169424080371,206.3168603744582
sqrt_daily,daily sqrt residual,28.0,5.0,52.0,570.0,1343.0,7.220767943567921,43.718731256398314,561.6155670742493,1268.5699632139147,60.381194548667736,181.5468483636561
sqrt_daily,daily sqrt residual,29.0,0.0,46.0,570.0,1389.0,5.154301894412129,35.21393422932965,566.7698689686614,1303.7838974432443,49.367528121165115,157.01202039167822
sqrt_daily,daily sqrt residual,30.0,4.0,26.0,574.0,1415.0,3.6299540637128302,27.996911225575104,570.3998230323742,1331.7808086688194,39.860278420404946,133.72727162322488
sqrt_daily,daily sqrt residual,31.0,4.0,11.0,578.0,1426.0,2.5279677615245646,22.016759517800665,572.9277907938988,1353.79756818662,31.83757111929831,112.36055313131965
sqrt_daily,daily sqrt residual,32.0,0.0,13.0,578.0,1439.0,1.7445527013799165,17.15662342161704,574.6723434952787,1370.9541916082371,25.19366181504195,93.28146237397794
sqrt_daily,daily sqrt residual,33.0,0.0,8.0,578.0,1447.0,1.195258417247942,13.268726338482338,575.8676019125267,1384.2229179467195,19.777136286013935,76.62474755418454
