eta,eta_fraction,c0,t1,t2,control_duration,clear_time,peak_I,cum_total_infections,q_start,q_mean_control,q_min_theory,q_max_theory,J_c,J_q,J,raw_c_cost,raw_q_cost,w_c,w_q,plateau_max_error,q_was_clipped,status,S_star,Sc,Sbar,S_end,C2,clear_time_method
100.0,7.597052343690648e-06,6.0,36.74845868067851,27511.57278613208,27474.824327451402,29287.826516123558,100.0,1730432.413425038,0.6714305269602812,0.5027574425138611,0.323,0.6714305269602812,0.0,7295.131690724193,5116.705576347279,0.0,4938.8041546202785,1.0,2.0,0.0,0.0,ok,13162186.89651758,6388024.834031128,3676853.8293057415,6315546.118875772,-22392523.189331584,phase_formula
112.34493440205146,8.534903472008771e-06,6.0,37.12018927713892,24492.688483245507,24455.56829396837,26201.583592445193,112.34493440205146,1731988.8700387576,0.671428021109981,0.502751344685791,0.323,0.671428021109981,0.0,6493.236759078302,4554.177208897048,0.0,4395.921285896011,1.0,2.0,0.0,0.0,ok,13162086.515255323,6388024.834031128,3676853.8293057415,6311177.616465276,-22392510.84439718,phase_formula
126.21384285801246,9.588531706906667e-06,6.0,37.491916582751884,21805.572738210343,21768.08082162759,23449.063459512876,126.21384285801246,1733637.8974906248,0.6714252058470168,0.5027519446217465,0.323,0.6714252058470168,0.0,5779.696984299714,4053.7084203374347,0.0,3912.8548583709066,1.0,2.0,0.0,0.0,ok,13161973.74113096,6388024.834031128,3676853.8293057415,6306551.935668472,-22392496.975488722,phase_formula
141.79485896514254,1.077222965624421e-05,6.0,37.863640815880096,19413.769424407736,19375.905783591854,20993.80738017434,141.79485896514254,1735385.1127002025,0.6714220429570076,0.5027529858161298,0.323,0.6714220429570076,0.0,5144.574471924156,3608.244064901594,0.0,3482.8769174926542,1.0,2.0,0.0,0.0,ok,13161847.044028016,6388024.834031128,3676853.8293057415,6301653.791483023,-22392481.394472618,phase_formula
159.29934128987077,1.210205434094589e-05,6.0,38.235376073912725,17284.82838174784,17246.593005673927,18803.35621406582,159.29934128987077,1737236.4686085249,0.6714184895034192,0.5027444671267153,0.323,0.6714184895034192,0.0,4578.995080585221,3211.475161254254,0.0,3099.979669556195,1.0,2.0,0.0,0.0,ok,13161704.704878932,6388024.834031128,3676853.8293057415,6296467.02453171,-22392463.889990292,phase_formula
178.96474047500539,1.3596045010636282e-05,6.0,38.60712279355141,15389.865198179037,15351.258075385485,16848.810992521107,178.96474047500539,1739198.2748217275,0.6714144972434081,0.5027454614911089,0.323,0.6714144972434081,0.0,4075.803496645903,2858.551479538876,0.0,2759.3189672292765,1.0,2.0,0.0,0.0,ok,13161544.79232366,6388024.834031128,3676853.8293057415,6290974.552166968,-22392444.224591106,phase_formula
201.05782028944645,1.5274467848472724e-05,6.0,38.97888201959386,13703.169403039969,13664.190521020375,15104.441830563797,201.05782028944645,1741277.2195166252,0.6714100119712331,0.5027470994838537,0.323,0.6714100119712331,0.0,3627.915233306025,2544.4193559801824,0.0,2456.0986129481794,1.0,2.0,0.0,0.0,ok,13161365.136482682,6388024.834031128,3676853.8293057415,6285158.317182162,-22392422.131511293,phase_formula
225.87827631437312,1.7160090884629123e-05,6.0,39.35065520169343,12201.855700870501,12162.505045668808,13547.339804008177,225.87827631437312,1743480.3926870003,0.6714049727802118,0.5027352019852824,0.323,0.6714049727802118,0.0,3228.9960133386994,2264.551365424896,0.0,2186.0303010303,1.0,2.0,0.0,0.0,ok,13161163.299487203,6388024.834031128,3676853.8293057415,6278999.234046343,-22392397.31105527,phase_formula
253.76280135386727,1.9278492847669018e-05,6.0,39.72244311291868,10865.55352821824,10825.831085105323,12157.107086802658,253.76280135386727,1745815.3108208366,0.6713993112330593,0.5027368161001098,0.323,0.6713993112330593,0.0,2874.1512716018133,2015.6830154453103,0.0,1945.8004108744278,1.0,2.0,0.0,0.0,ok,13160936.542364808,6388024.834031128,3676853.8293057415,6272477.132590873,-22392369.426530227,phase_formula
285.08965271781034,2.1658410143417938e-05,6.0,40.09424749441727,9676.130725856288,9636.036478361872,10915.581141265546,285.08965271781034,1748289.943099404,0.6713929504291672,0.5027212905628232,0.323,0.6713929504291672,0.0,2558.051568392376,1793.9073583965908,0.0,1731.8009118016384,1.0,2.0,0.0,0.0,ok,13160681.787828982,6388024.834031128,3676853.8293057415,6265570.699064553,-22392338.099678863,phase_formula
320.28378333286037,2.4332126668150144e-05,6.0,40.46605066457211,8617.447553204747,8576.981502540175,9806.589204436277,320.28378333286037,1750912.739221525,0.6713858039559322,0.5027227554925554,0.323,0.6713858039559322,0.0,2276.9257746605585,1596.7478924001848,0.0,1541.4787494451982,1.0,2.0,0.0,0.0,ok,13160395.578464676,6388024.834031128,3676853.8293057415,6258257.414462852,-22392302.90554825,phase_formula
359.8226062857106,2.733591174395735e-05,6.0,40.83786790997625,7675.137803222953,7634.299935312977,8815.729816493498,359.8226062857106,1753692.6589549447,0.6713777747096075,0.5027253335388917,0.323,0.6713777747096075,0.0,2026.7017757903454,1421.2639538039775,0.0,1372.0771022100637,1.0,2.0,0.0,0.0,ok,13160074.02973882,6388024.834031128,3676853.8293057415,6250513.490093604,-22392263.366725296,phase_formula
404.24247099543345,3.071051211695156e-05,6.0,41.209707109350155,6836.413882306919,6795.2041751975685,7930.17828327141,404.24247099543345,1756639.2035308988,0.6713687535693038,0.5027036439992968,0.323,0.6713687535693038,0.0,1803.7266647005004,1264.8089547051757,0.0,1221.122952002239,1.0,2.0,0.0,0.0,ok,13159712.77719355,6388024.834031128,3676853.8293057415,6242313.80029072,-22392218.946860585,phase_formula
454.1459388650521,3.4501704692323335e-05,6.0,41.58157052818272,6089.893346560233,6048.31177603205,7138.5135488350315,454.1459388650521,1759762.4490114572,0.6713586179056703,0.5027060872023258,0.323,0.6713586179056703,0.0,1605.4925309460411,1125.7924119654688,0.0,1086.9184434504698,1.0,2.0,0.0,0.0,ok,13159306.917099567,6388024.834031128,3676853.8293057415,6233631.812242671,-22392169.043392718,phase_formula
510.20995710752294,3.876091750418012e-05,6.0,41.953460537261634,5425.44450310871,5383.491042571448,6430.564102616836,510.20995710752294,1763073.0817488988,0.6713472299034224,0.5027101544388966,0.323,0.6713472299034224,0.0,1429.051708539041,1002.0624071649809,0.0,967.4680066809309,1.0,2.0,0.0,0.0,ok,13158850.939756949,6388024.834031128,3676853.8293057415,6224439.512883933,-22392112.979374476,phase_formula
520.0,3.950467218719137e-05,6.0,42.01419491775931,5324.114793062766,5282.100598145006,6322.284893775541,520.0,1763632.2072834452,0.6713452411820884,0.5026780229985981,0.323,0.6713452411820884,0.0,1401.886843064117,982.9289072314763,0.0,949.0773927544071,1.0,2.0,0.0,0.0,ok,13158771.314293165,6388024.834031128,3676853.8293057415,6222888.120535745,-22392103.189331584,phase_formula
573.1950416251822,4.354592734370449e-05,6.0,42.32538005247893,4834.048972739505,4791.723592687026,5797.270809006009,573.1950416251822,1766582.4360813927,0.6713344346741938,0.5026798621143503,0.323,0.6713344346741938,0.0,1271.7521926500513,891.6744515823593,0.0,860.9762344240847,1.0,2.0,0.0,0.0,ok,13158338.654528677,6388024.834031128,3676853.8293057415,6214707.3328360515,-22392049.994289957,phase_formula
643.9555935096224,4.892164350904979e-05,6.0,42.69733235512452,4307.679354162152,4264.982021807027,5230.564820894513,643.9555935096224,1770302.5344220898,0.6713200581331484,0.5026838469379854,0.323,0.6713200581331484,0.0,1131.9769228945838,793.662868559146,0.0,766.3483767996333,1.0,2.0,0.0,0.0,ok,13157763.105577674,6388024.834031128,3676853.8293057415,6204404.067378503,-22391979.233738072,phase_formula
723.4514891067264,5.4960988308647454e-05,6.0,43.06932097180563,3839.1903310720145,3796.121010100209,4723.258897909818,723.4514891067264,1774246.12989485,0.6713039046093221,0.5026443231937131,0.323,0.6713039046093221,0.0,1007.3140171652683,706.1673321929014,0.0,681.9515896208866,1.0,2.0,0.0,0.0,ok,13157116.477148537,6388024.834031128,3676853.8293057415,6193496.794467999,-22391899.737842474,phase_formula
812.7611008676171,6.174588626206921e-05,6.0,43.441333391117624,3422.2217286479845,3378.780395256867,4268.9506618477335,812.7611008676171,1778426.7517044123,0.6712857541557391,0.5026479029463685,0.323,0.6712857541557391,0.0,896.5890879234835,628.5326119735247,0.0,606.9908125241983,1.0,2.0,0.0,0.0,ok,13156389.987089392,6388024.834031128,3676853.8293057415,6181950.789842609,-22391810.428230714,phase_formula
913.0959256151148,6.93683754170869e-05,6.0,43.81338427549583,3051.1122803119993,3007.2988960365033,3861.936529720153,913.0959256151148,1782858.753397252,0.6712653595208558,0.502654292355375,0.323,0.6712653595208558,0.0,798.0415879889779,559.4395315051233,0.0,540.274155068538,1.0,2.0,0.0,0.0,ok,13155573.7671444,6388024.834031128,3676853.8293057415,6169729.439268725,-22391710.093405966,phase_formula
1025.8170186601064,7.793185585809515e-05,6.0,44.18548553575604,2720.822801766237,2676.637316230481,3497.1350457128624,1025.8170186601064,1787557.364263251,0.6712424427377852,0.5025990792712155,0.323,0.6712424427377852,0.0,710.0762149748473,497.68489966022037,0.0,480.72159753797166,1.0,2.0,0.0,0.0,ok,13154656.728361469,6388024.834031128,3676853.8293057415,6156794.148034012,-22391597.372312922,phase_formula
1152.4534566987763,8.755249234207827e-05,6.0,44.55764294526217,2426.867830236528,2382.3101872912657,3170.0186503783425,1152.4534566987763,1792538.7440573839,0.6712166912819088,0.5026050915996579,0.323,0.6712166912819088,0.0,632.016306362254,442.96249174971655,0.0,427.87503940724605,1.0,2.0,0.0,0.0,ok,13153626.409749398,6388024.834031128,3676853.8293057415,6143104.247812845,-22391470.735874884,phase_formula
1294.7230799424149,9.836079008906897e-05,6.0,44.9298629588825,2165.2547853100596,2120.324922351177,2876.5529649440714,1294.7230799424149,1797820.0413020318,0.6711877537408056,0.5026152060466123,0.323,0.6711877537408056,0.0,562.5444576275829,394.26401937897765,0.0,380.8425978138737,1.0,2.0,0.0,0.0,ok,13152468.808080915,6388024.834031128,3676853.8293057415,6128616.901087379,-22391328.46625164,phase_formula
1300.0,9.876168046797843e-05,6.0,44.942892630867604,2156.6534100463005,2111.710517415433,2866.8617367371044,1300.0,1798010.2257014806,0.6711866802747517,0.5026156463225969,0.323,0.6711866802747517,0.0,560.2603388948281,392.6629610378531,0.0,379.29624943179874,1.0,2.0,0.0,0.0,ok,13152425.869647631,6388024.834031128,3676853.8293057415,6128095.71233547,-22391323.189331584,phase_formula
1454.5557948495277,0.00011050336510290418,6.0,45.302152835284964,1932.4298090821737,1887.1276562468888,2613.142732821146,1454.5557948495277,1803419.4554106533,0.6711552349327637,0.5025381001168405,0.323,0.6711552349327637,0.0,500.45984354580855,350.6630765340435,0.0,338.81131408051243,1.0,2.0,0.0,0.0,ok,13151168.186468892,6388024.834031128,3676853.8293057415,6113287.003349844,-22391168.633536734,phase_formula
1634.1197535649385,0.000124144933036917,6.0,45.67452077230386,1725.2295576345355,1679.5550368622316,2376.5837025139763,1634.1197535649385,1809356.3029163997,0.6711186904013289,0.5025479615916582,0.323,0.6711186904013289,0.0,445.4367551692995,312.0994440111799,0.0,301.5606832496158,1.0,2.0,0.0,0.0,ok,13149706.85903809,6388024.834031128,3676853.8293057415,6097067.083372712,-22390989.069578018,phase_formula
1835.850765193497,0.00013947054358379526,6.0,46.04697597545816,1540.8382898078235,1494.7913138323654,2164.0197964111753,1835.850765193497,1815651.0881198477,0.6710776202032047,0.502447378581904,0.323,0.6710776202032047,0.0,396.2132685291258,277.51979851865946,0.0,268.23638279421823,1.0,2.0,0.0,0.0,ok,13148064.948669115,6388024.834031128,3676853.8293057415,6079907.201898559,-22390787.33856639,phase_formula
2062.485337876194,0.0001566880906993994,6.0,46.41952879934233,1376.7496713111727,1330.3301425118304,1972.9049836283284,2062.485337876194,1822325.5784606533,0.6710314618950889,0.5024561648999293,0.323,0.6710314618950889,0.0,352.63802869416463,246.9860719551874,0.0,238.73594542594952,1.0,2.0,0.0,0.0,ok,13146220.114398569,6388024.834031128,3676853.8293057415,6061754.849179456,-22390560.703993704,phase_formula
2317.0977998889393,0.0001760311327120671,6.0,46.79218160531909,1230.7327666773274,1183.9405850720084,1800.9693298041966,2317.0977998889393,1829402.8850262938,0.6709795826114638,0.5024720571181908,0.323,0.6709795826114638,0.0,313.86152482804664,219.81831626117503,0.0,212.4842523085876,1.0,2.0,0.0,0.0,ok,13144147.244613389,6388024.834031128,3676853.8293057415,6042554.841882208,-22390306.091531694,phase_formula
2603.142003316607,0.00019776206057255997,6.0,47.16494883309941,1100.801796361378,1053.6368475282784,1646.188803799395,2603.142003316607,1836907.548483876,0.6709212701095795,0.5023315742799709,0.323,0.6709212701095795,0.0,279.09948978823,195.38254507229652,0.0,188.95035458663173,1.0,2.0,0.0,0.0,ok,13141818.111669349,6388024.834031128,3676853.8293057415,6022249.219971921,-22390020.047328264,phase_formula
2924.49817601829,0.00022217565722238775,6.0,47.5378542787343,985.1891964541267,937.6513421753924,1506.7583798787118,2924.49817601829,1844865.6309456902,0.6708557226394863,0.5023464570843071,0.323,0.6708557226394863,0.0,248.39652318981092,173.8778447443627,0.0,168.16444619950198,1.0,2.0,0.0,0.0,ok,13139200.982984774,6388024.834031128,3676853.8293057415,6000777.1443071,-22389698.691155564,phase_formula
3200.0,0.00024310567499810073,6.0,47.826367170949695,904.58864541582,856.7622782448703,1408.4211549762067,3200.0,1851348.936816698,0.6707994975106402,0.502364977331454,0.323,0.6707994975106402,0.0,226.99135393771948,158.88779788520281,0.0,153.6731466158361,1.0,2.0,0.0,0.0,ok,13136956.89993321,6388024.834031128,3676853.8293057415,5983330.116629565,-22389423.189331584,phase_formula
3285.5255574369426,0.0002496030963638185,6.0,47.910914682597415,882.3216247017957,834.4107100191983,1381.068078179921,3285.5255574369426,1853304.814325036,0.6707820374754743,0.5023717297857924,0.323,0.6707820374754743,0.0,221.07783221260675,154.7469583244967,0.0,149.66969240793478,1.0,2.0,0.0,0.0,ok,13136260.182999277,6388024.834031128,3676853.8293057415,5978074.795793848,-22389337.663774144,phase_formula
3691.1215322651688,0.0002804164348754212,6.0,48.28414890351596,790.7986268490499,742.5144779455339,1267.6816579550273,3691.1215322651688,1862254.505495206,0.6706991979200272,0.5021756014104469,0.323,0.6706991979200272,0.0,196.514738761972,137.46525446353795,0.0,133.04047814185506,1.0,2.0,0.0,0.0,ok,13132955.599630743,6388024.834031128,3676853.8293057415,5954075.277108369,-22388932.06779932,phase_formula
4146.7880641233005,0.0003150336598133633,6.0,48.65757819664086,709.3736393042185,660.7160611075776,1165.3176446484094,4146.7880641233005,1871745.9490190374,0.6706060585616529,0.5022001962706949,0.323,0.6706060585616529,0.0,174.88987862581723,122.3282228469113,0.0,118.40044782967828,1.0,2.0,0.0,0.0,ok,13129242.127996245,6388024.834031128,3676853.8293057415,5928708.5181418145,-22388476.401267458,phase_formula
4658.7063304314215,0.0003539243584617049,6.0,49.031226530053,636.9370793561345,587.9058528260815,1072.8324345455826,4658.7063304314215,1881812.3479781705,0.6705013285327382,0.5019444394216271,0.323,0.6705013285327382,0.0,155.3951008370115,108.60180835370855,0.0,105.2024832666568,1.0,2.0,0.0,0.0,ok,13125069.043165373,6388024.834031128,3676853.8293057415,5901901.186526057,-22387964.48300115,phase_formula
5233.820570907399,0.0003976160883466838,6.0,49.40512094635874,572.5012935605172,523.0961726141585,989.2052571678461,5233.820570907399,1892488.9936573426,0.6703835524717123,0.5019662997087905,0.323,0.6703835524717123,0.0,138.28151610721812,96.62915836803123,0.0,93.61658640458666,1.0,2.0,0.0,0.0,ok,13120379.292565279,6388024.834031128,3676853.8293057415,5873576.604784609,-22387389.368760675,phase_formula
5879.932287106999,0.0004467015336250854,6.0,49.77929197656005,515.1871601204231,465.40786814386297,913.5247847540909,5879.932287106999,1903813.4049122937,0.670251088843816,0.5020062265662601,0.323,0.670251088843816,0.0,123.05894577648516,85.98287969592637,0.0,83.31090629068045,1.0,2.0,0.0,0.0,ok,13115108.697328512,6388024.834031128,3676853.8293057415,5843654.675906326,-22386743.257044476,phase_formula
6500.0,0.0004938084023398921,6.0,50.10181018289691,470.93108365698924,420.82927347409236,854.0874081647476,6500.0,1914116.615496784,0.6701238169065843,0.5016458217178493,0.323,0.6701238169065843,0.0,111.04784543974117,77.50176253837648,0.0,75.17939136270478,1.0,2.0,0.0,0.0,ok,13110048.66154399,6388024.834031128,3676853.8293057415,5816539.1722493,-22386123.189331584,phase_formula
6605.806070835401,0.00050184654492406,6.0,50.15377411475374,464.21216352230215,414.0583894075484,844.9772114039754,6605.806070835401,1915825.47799957,0.6701020852147674,0.5016492232656213,0.323,0.6701020852147674,0.0,109.2632343489995,76.25433278903213,0.0,73.97120965427267,1.0,2.0,0.0,0.0,ok,13109185.050334437,6388024.834031128,3676853.8293057415,5812051.81938719,-22386017.383260746,phase_formula
7421.288497006765,0.000563799171693897,6.0,50.52860636379431,418.8797796610357,368.35117329724136,782.8356387649067,7421.288497006765,1928567.6480423063,0.6699344499992411,0.5016867047308262,0.323,0.6699344499992411,0.0,97.22224127063153,67.83974793896994,0.0,65.81945734021755,1.0,2.0,0.0,0.0,ok,13102527.096902816,6388024.834031128,3676853.8293057415,5778680.920082842,-22385201.900834575,phase_formula
8337.44169374924,0.000633399809598818,6.0,50.903832864014475,378.57002746497335,327.6661946009589,726.4506258460375,8337.44169374924,1942085.0631210252,0.6697458201182962,0.5017506896148771,0.323,0.6697458201182962,0.0,86.5148570877458,60.360528562735965,0.0,58.570558248403906,1.0,2.0,0.0,0.0,ok,13095043.38200403,6388024.834031128,3676853.8293057415,5743451.292542031,-22384285.747637834,phase_formula
9366.693401651874,0.0007115926005965109,6.0,51.27950361951955,342.73105885657327,291.4515552370537,675.2417742546775,9366.693401651874,1956425.772327552,0.6695335238928457,0.5012526999446091,0.323,0.6695335238928457,0.0,76.73859176375213,53.45184998372068,0.0,51.95202662406018,1.0,2.0,0.0,0.0,ok,13086630.945393644,6388024.834031128,3676853.8293057415,5706268.66385401,-22383256.49592993,phase_formula
10523.00555772709,0.0007994382403500031,6.0,51.65567533955816,310.8716729705329,259.21599763097475,628.6902349922734,10523.00555772709,1971640.9293137067,0.6692945383689485,0.5013153701806943,0.323,0.6692945383689485,0.0,68.27503186754095,47.54656064967378,0.0,46.222196574325224,1.0,2.0,0.0,0.0,ok,13077173.843182178,6388024.834031128,3676853.8293057415,5667035.178448169,-22382100.183773857,phase_formula
11822.06369095274,0.0008981283667061263,6.0,52.03241241615504,282.5546530903829,230.52224067422787,586.3320369413317,11822.06369095274,1987785.0129107966,0.669025440108667,0.5006664469394234,0.323,0.669025440108667,0.0,60.49640685539836,42.039618408216946,0.0,40.95606744110469,1.0,2.0,0.0,0.0,ok,13066541.470918419,6388024.834031128,3676853.8293057415,5625649.428732375,-22380801.12564063,phase_formula
13281.489698569587,0.0010090017244222128,6.0,52.409788063743214,257.3908359265664,204.9810478628232,547.7521447456488,13281.489698569587,2004916.0668389576,0.6687223482790068,0.5007229533198333,0.323,0.6687223482790068,0.0,53.81069010454213,37.381429335262865,0.0,36.42983720077503,1.0,2.0,0.0,0.0,ok,13054586.659173112,6388024.834031128,3676853.8293057415,5582006.515955882,-22379341.699633013,phase_formula
14921.080889473207,0.0011335623254177018,6.0,52.78788565217672,235.03383279556664,182.2459471433899,512.5791681634898,14921.080889473207,2023095.960729404,0.6683808586199111,0.5008259983420539,0.323,0.6683808586199111,0.0,47.87011446760191,33.24578299382942,0.0,32.408067494566495,1.0,2.0,0.0,0.0,ok,13041143.507703258,6388024.834031128,3676853.8293057415,5535998.146230352,-22377702.10844211,phase_formula
15000.0,0.0011395578515535972,6.0,52.805030813304086,234.0820203604769,181.2769895471728,511.06038435419134,15000.0,2023945.7264129943,0.6683643952685732,0.5008319295984073,0.323,0.6683643952685732,0.0,47.61718883746534,33.06978543154086,0.0,32.23683684296404,1.0,2.0,0.0,0.0,ok,13040496.107591953,6388024.834031128,3676853.8293057415,5533855.330239062,-22377623.189331584,phase_formula
16763.07853735573,0.0012734998508968874,6.0,53.16680027153014,215.17533110555723,162.00853083402708,480.480649301493,16763.07853735573,2042390.6749942363,0.6679959665556969,0.49992161518896316,0.323,0.6679959665556969,0.0,42.337977768902505,29.31550740442347,0.0,28.662810949546998,1.0,2.0,0.0,0.0,ok,13026024.91835264,6388024.834031128,3676853.8293057415,5487512.767244225,-22375860.110794228,phase_formula
18832.46958655668,0.0014307125721003326,6.0,53.54661518726268,197.54088704087977,143.99427185361708,451.15884157200946,18832.46958655668,2062870.6177019565,0.6675619773129906,0.5000203436621213,0.323,0.6675619773129906,0.0,37.6512784178792,26.059444133551082,0.0,25.489915488904217,1.0,2.0,0.0,0.0,ok,13009019.77963807,6388024.834031128,3676853.8293057415,5436435.751870208,-22373790.719745025,phase_formula
21157.325603303416,0.0016073331006080237,6.0,53.927462063397265,181.8862615576778,127.95879949428056,424.34702946980383,21157.325603303416,2084610.9590381538,0.6670724003956382,0.500187918245533,0.323,0.6670724003956382,0.0,33.490034421845124,23.17176772798566,0.0,22.672753303589154,1.0,2.0,0.0,0.0,ok,12989889.747135326,6388024.834031128,3676853.8293057415,5382649.63558718,-22371465.863728277,phase_formula
23769.183570259636,0.0018057573175005422,6.0,54.309493578212205,167.99407777983404,113.68458420162185,399.80616941146104,23769.183570259636,2107692.01027911,0.6665198251071763,0.49892931806746155,0.323,0.6665198251071763,0.0,29.542764214733015,20.35443430392616,0.0,20.00045137337425,1.0,2.0,0.0,0.0,ok,12968365.552851759,6388024.834031128,3676853.8293057415,5326034.415421899,-22368854.00576132,phase_formula
