eta,eta_fraction,c0,t1,t2,control_duration,clear_time,peak_I,cum_total_infections,q_start,q_mean_control,q_min_theory,q_max_theory,J_c,J_q,J,raw_c_cost,raw_q_cost,w_c,w_q,plateau_max_error,q_was_clipped,status,S_star,Sc,Sbar,S_end,C2,clear_time_method
100.0,7.597052343690648e-06,12.8872,11.378062781921809,22534.663558637247,22523.285495855325,23748.321471240102,100.0,2109306.444290577,0.8470283667848927,0.6171706717080123,0.323,0.8470283667848927,0.0,9786.839030113873,10884.647629022387,0.0,6625.690023387093,1.0,2.0,0.0,0.0,ok,13162459.348343061,2974125.4115856644,1711863.1646776996,2924758.332178822,-9882126.927778926,phase_formula
112.34493440205146,8.534903472008771e-06,12.8872,11.49311483363031,20059.77217554236,20048.27906070873,21227.511744546107,112.34493440205146,2110366.745367352,0.8470275910936724,0.6171706745872177,0.323,0.8470275910936724,0.0,8711.39700975108,9688.561205802656,0.0,5897.61577560148,1.0,2.0,0.0,0.0,ok,13162392.604253545,2974125.4115856644,1711863.1646776996,2921788.4603942265,-9882114.582844526,phase_formula
126.21384285801246,9.588531706906667e-06,12.8872,11.608170784652245,17856.844923638855,17845.2367528542,18979.999660398753,126.21384285801246,2111489.999108623,0.8470267196331268,0.6171708634946608,0.323,0.8470267196331268,0.0,7754.133980581648,8623.913371293513,0.0,5249.548704853775,1.0,2.0,0.0,0.0,ok,13162317.620532114,2974125.4115856644,1711863.1646776996,2918644.450375064,-9882100.713936068,phase_formula
141.79485896514254,1.077222965624421e-05,12.8872,11.723304432643697,15895.997313306301,15884.274008873657,16975.898955123022,141.79485896514254,2112680.0121944295,0.8470257405777761,0.6171712855408708,0.323,0.8470257405777761,0.0,6902.063966135605,7676.261144316669,0.0,4672.697305073805,1.0,2.0,0.0,0.0,ok,13162233.37997072,2974125.4115856644,1711863.1646776996,2915316.037941149,-9882085.132919962,phase_formula
159.29934128987077,1.210205434094589e-05,12.8872,11.83830985685224,14150.628416852072,14138.79010699522,15188.602578750797,159.29934128987077,2113940.817416276,0.8470246406415544,0.6171719917507789,0.323,0.8470246406415544,0.0,6143.627838583443,6832.748436520877,0.0,4159.236046720991,1.0,2.0,0.0,0.0,ok,13162138.739779545,2974125.4115856644,1711863.1646776996,2911792.382604844,-9882067.628437636,phase_formula
178.96474047500539,1.3596045010636282e-05,12.8872,11.953415507809924,12597.06074025404,12585.107324746232,13594.423110675187,178.96474047500539,2115276.68737475,0.847023404897306,0.6171730503150267,0.323,0.847023404897306,0.0,5468.536795070286,6081.932087340646,0.0,3702.1994102625836,1.0,2.0,0.0,0.0,ok,13162032.416081902,2974125.4115856644,1711863.1646776996,2908062.03669314,-9882047.963038452,phase_formula
201.05782028944645,1.5274467848472724e-05,12.8872,12.068481171777924,11214.218228654354,11202.149747482576,12172.271256710303,201.05782028944645,2116692.149002518,0.8470220165739505,0.61715114509465,0.323,0.8470220165739505,0.0,4867.245459001097,5413.027022083463,0.0,3295.125175743742,1.0,2.0,0.0,0.0,ok,13161912.966494454,2974125.4115856644,1711863.1646776996,2904112.9131395123,-9882025.869958637,phase_formula
225.87827631437312,1.7160090884629123e-05,12.8872,12.183537291393483,9983.34090808043,9971.157370789037,10903.370927985634,225.87827631437312,2118191.9989360054,0.8470204568285423,0.6171502569538111,0.323,0.8470204568285423,0.0,4332.375927244434,4818.164929745441,0.0,2933.018502744482,1.0,2.0,0.0,0.0,ok,13161778.770556312,2974125.4115856644,1711863.1646776996,2899932.2519361917,-9882001.049502613,phase_formula
253.76280135386727,1.9278492847669018e-05,12.8872,12.298686170265947,8887.730304681734,8875.431618511468,9771.005055987696,253.76280135386727,2119781.319813197,0.8470187044901103,0.6171496351038964,0.323,0.8470187044901103,0.0,3856.285039844509,4288.676418486243,0.0,2610.704971974733,1.0,2.0,0.0,0.0,ok,13161628.007741187,2974125.4115856644,1711863.1646776996,2895506.5852190047,-9881973.164977573,phase_formula
285.08965271781034,2.1658410143417938e-05,12.8872,12.413693119892995,7912.522517458854,7900.108824338961,8760.289020826403,285.08965271781034,2121465.497552741,0.8470167357717729,0.6171493513803574,0.323,0.8470167357717729,0.0,3432.513864864908,3817.377829257536,0.0,2323.811886513543,1.0,2.0,0.0,0.0,ok,13161458.632754065,2974125.4115856644,1711863.1646776996,2890821.7009848147,-9881941.838126209,phase_formula
320.28378333286037,2.4332126668150144e-05,12.8872,12.528800955116997,7044.487405138357,7031.95860418324,7857.970157280037,320.28378333286037,2123250.239646839,0.8470145239471846,0.6171495072080043,0.323,0.8470145239471846,0.0,3055.313379804411,3397.8751443062397,0.0,2068.4471581275866,1.0,2.0,0.0,0.0,ok,13161268.347776858,2974125.4115856644,1711863.1646776996,2885862.6054362343,-9881906.643995594,phase_formula
359.8226062857106,2.733591174395735e-05,12.8872,12.643884970601897,6271.848269220447,6259.204384249845,7052.247723320376,359.8226062857106,2125141.594579614,0.8470120389868763,0.6171502106784719,0.323,0.8470120389868763,0.0,2719.5661570261555,3024.4767432214244,0.0,1841.146288306707,1.0,2.0,0.0,0.0,ok,13161054.571285993,2974125.4115856644,1711863.1646776996,2880613.483966797,-9881867.105172642,phase_formula
404.24247099543345,3.071051211695156e-05,12.8872,12.75894527382143,5584.122595514088,5571.363650240267,6332.613900748005,404.24247099543345,2127145.972393724,0.8470092471494985,0.6171515945106628,0.323,0.8470092471494985,0.0,2420.7171363617736,2692.1164913199855,0.0,1638.825501316921,1.0,2.0,0.0,0.0,ok,13160814.40301832,2974125.4115856644,1711863.1646776996,2875057.6608094433,-9881822.685307931,phase_formula
454.1459388650521,3.4501704692323335e-05,12.8872,12.874106641222117,4971.979857285338,4959.105750644116,5689.711828236322,454.1459388650521,2129270.166500259,0.8470061105223421,0.6171538224188223,0.323,0.8470061105223421,0.0,2154.711835053368,2396.285016761513,0.0,1458.7399123311302,1.0,2.0,0.0,0.0,ok,13160544.584609235,2974125.4115856644,1711863.1646776996,2869177.5573855536,-9881772.781840062,phase_formula
510.20995710752294,3.876091750418012e-05,12.8872,12.989128973069912,4427.1144541771255,4414.125325204055,5115.208747532655,510.20995710752294,2131521.376833019,0.847002586504809,0.6171570681237544,0.323,0.847002586504809,0.0,1917.941158039643,2132.9682460130066,0.0,1298.4461639928381,1.0,2.0,0.0,0.0,ok,13160241.455368014,2974125.4115856644,1711863.1646776996,2862954.6494060317,-9881716.71782182,phase_formula
520.0,3.950467218719137e-05,12.8872,13.007922650204316,4344.0194038362015,4331.011481185998,5027.379063003302,520.0,2131901.535195875,0.847001971112734,0.6170972164388753,0.323,0.847001971112734,0.0,1881.4452304012002,2092.2120115229923,0.0,1273.7384209816125,1.0,2.0,0.0,0.0,ok,13160188.521952104,2974125.4115856644,1711863.1646776996,2861904.690006051,-9881706.927778926,phase_formula
573.1950416251822,4.354592734370449e-05,12.8872,13.104244930119219,3942.13388652367,3929.0296415935504,4601.684364410487,573.1950416251822,2133907.2343424237,0.846998627227705,0.6170948805064537,0.323,0.846998627227705,0.0,1706.8057650676067,1897.9943787519355,0.0,1155.5075029507698,1.0,2.0,0.0,0.0,ok,13159900.902589098,2974125.4115856644,1711863.1646776996,2856369.422801474,-9881653.7327373,phase_formula
643.9555935096224,4.892164350904979e-05,12.8872,13.21935550228423,3510.4576675169114,3497.2383120146274,4142.529925247699,643.9555935096224,2136435.8270579176,0.8469941789003215,0.617092645440043,0.323,0.8469941789003215,0.0,1519.2201874662517,1689.3812594688152,0.0,1028.5120669146525,1.0,2.0,0.0,0.0,ok,13159518.305723635,2974125.4115856644,1711863.1646776996,2849401.3285733955,-9881582.972185418,phase_formula
723.4514891067264,5.4960988308647454e-05,12.8872,13.334427444350768,3126.22845680199,3112.8940293576393,3731.859499747533,723.4514891067264,2139115.727678446,0.8469891810762535,0.617091195518911,0.323,0.8469891810762535,0.0,1352.2521811188599,1503.6989810671714,0.0,915.4747266174681,1.0,2.0,0.0,0.0,ok,13159088.473651795,2974125.4115856644,1711863.1646776996,2842028.736687167,-9881503.47628982,phase_formula
812.7611008676171,6.174588626206921e-05,12.8872,13.449602420592466,2784.2327144678925,2770.7831120473,3364.430766714377,812.7611008676171,2141956.0228386987,0.846983565827752,0.6170907716416802,0.323,0.846983565827752,0.0,1203.6362532846774,1338.4278878942973,0.0,814.8617434737266,1.0,2.0,0.0,0.0,ok,13158605.574202262,2974125.4115856644,1711863.1646776996,2834228.8891605292,-9881414.16667806,phase_formula
913.0959256151148,6.93683754170869e-05,12.8872,13.564658941080461,2479.8294386962107,2466.2647797551303,3035.5738689669115,913.0959256151148,2144966.3442695034,0.8469772568170978,0.6170916269006675,0.323,0.8469772568170978,0.0,1071.3557185317616,1191.3249863449023,0.0,725.3078214460025,1.0,2.0,0.0,0.0,ok,13158063.054959461,2974125.4115856644,1711863.1646776996,2825977.8525246046,-9881313.831853312,phase_formula
1025.8170186601064,7.793185585809515e-05,12.8872,13.679793533721307,2208.8879941275663,2195.208200593845,2741.129346079414,1025.8170186601064,2148156.901677309,0.8469701682520064,0.6170941054675142,0.323,0.8469701682520064,0.0,953.615645596157,1060.393988098371,0.0,645.5977920685983,1.0,2.0,0.0,0.0,ok,13157453.554279916,2974125.4115856644,1711863.1646776996,2817250.4698853777,-9881201.110760266,phase_formula
1152.4534566987763,8.755249234207827e-05,12.8872,13.794945311484753,1967.7314011420806,1953.9364558305958,2477.3915158582363,1152.4534566987763,2151538.5178701766,0.846962203710402,0.6170985880837794,0.323,0.846962203710402,0.0,848.8182464774037,943.8578239506777,0.0,574.6499528652024,1.0,2.0,0.0,0.0,ok,13156768.801305274,2974125.4115856644,1711863.1646776996,2808020.312847614,-9881074.474322228,phase_formula
1294.7230799424149,9.836079008906897e-05,12.8872,13.910042355997163,1753.0867043487483,1739.1766619927512,2241.058923519896,1294.7230799424149,2155122.66594291,0.8469532548179878,0.6171055212278601,0.323,0.8469532548179878,0.0,755.5412979065109,840.1346858185092,0.0,511.50145868270795,1.0,2.0,0.0,0.0,ok,13155999.503608797,2974125.4115856644,1711863.1646776996,2798259.633616882,-9880932.204698984,phase_formula
1300.0,9.876168046797843e-05,12.8872,13.914070632985933,1746.0291611434898,1732.115090510504,2233.259358337613,1300.0,2155251.7140017953,0.8469529228717098,0.6171058152387654,0.323,0.8469529228717098,0.0,752.4743290723188,836.7242848315957,0.0,509.4251207819599,1.0,2.0,0.0,0.0,ok,13155970.969348943,2974125.4115856644,1711863.1646776996,2797908.6259644465,-9880926.927778926,phase_formula
1454.5557948495277,0.00011050336510290418,12.8872,14.025245830484987,1562.0408195965194,1548.0155737660345,2029.1902607595962,1454.5557948495277,2158921.508671975,0.8469431997598864,0.6169462372835137,0.323,0.8469431997598864,0.0,672.1319839952815,747.217765229989,0.0,455.0333531648056,1.0,2.0,0.0,0.0,ok,13155135.220942607,2974125.4115856644,1711863.1646776996,2787939.3176525226,-9880772.371984078,phase_formula
1634.1197535649385,0.000124144933036917,12.8872,14.1403572786499,1392.0004227109864,1377.8600654323366,1839.1643165767318,1634.1197535649385,2162947.9407348284,0.8469319016051579,0.6169389057071119,0.323,0.8469319016051579,0.0,598.2373409907099,665.0516280209321,0.0,405.0066798507106,1.0,2.0,0.0,0.0,ok,13154164.223362051,2974125.4115856644,1711863.1646776996,2777028.8373041684,-9880592.808025362,phase_formula
1835.850765193497,0.00013947054358379526,12.8872,14.255529462634398,1240.657484235247,1226.4019547726127,1668.6455656152018,1835.850765193497,2167215.633032021,0.8469192064202042,0.6169333820500298,0.323,0.8469192064202042,0.0,532.4674657593525,591.9218609845175,0.0,360.4804743190817,1.0,2.0,0.0,0.0,ok,13153073.331788914,2974125.4115856644,1711863.1646776996,2765496.2069435082,-9880391.077013733,phase_formula
