strategy,peak_I,control_duration,clear_time,J,daily_J
threshold,100.0,22523.285495855325,23748.321471240102,10884.647629022387,0.48326198373791207
threshold,112.34493440205146,20048.27906070873,21227.511744546107,9688.561205802656,0.48326148975004113
threshold,126.21384285801246,17845.2367528542,18979.999660398757,8623.913371293513,0.4832613593604572
threshold,141.79485896514254,15884.274008873655,16975.898955123022,7676.261144316669,0.48326169266712293
threshold,159.29934128987077,14138.79010699522,15188.602578750795,6832.748436520877,0.48326259777633646
threshold,178.9647404750054,12585.107324746232,13594.423110675189,6081.932087340646,0.4832642209877446
threshold,201.05782028944645,11202.149747482576,12172.271256710304,5413.027022083463,0.48321323532564947
threshold,225.87827631437312,9971.157370789037,10903.370927985634,4818.164929745441,0.48321019823240147
threshold,253.76280135386727,8875.431618511468,9771.005055987696,4288.676418486243,0.483207645872834
threshold,285.08965271781034,7900.108824338961,8760.289020826403,3817.377829257536,0.48320572717894855
threshold,320.2837833328604,7031.95860418324,7857.970157280037,3397.87514430624,0.4832046568483607
threshold,359.8226062857106,6259.204384249845,7052.247723320376,3024.4767432214244,0.48320466269354817
threshold,404.2424709954335,5571.363650240267,6332.613900748005,2692.116491319985,0.4832060264463058
threshold,454.1459388650521,4959.105750644116,5689.711828236322,2396.285016761513,0.48320909802140644
threshold,510.2099571075229,4414.125325204055,5115.208747532655,2132.9682460130066,0.48321424718823636
threshold,520.0,4331.011481185998,5027.379063003302,2092.2120115229923,0.483076994972561
threshold,573.1950416251822,3929.0296415935504,4601.684364410487,1897.9943787519355,0.48306949854980985
threshold,643.9555935096224,3497.238312014628,4142.529925247699,1689.3812594688152,0.483061521333851
threshold,723.4514891067264,3112.8940293576397,3731.859499747533,1503.6989810671714,0.4830549857739509
threshold,812.7611008676171,2770.7831120473,3364.430766714377,1338.427887894297,0.4830503990279297
threshold,913.0959256151148,2466.2647797551303,3035.5738689669115,1191.3249863449023,0.483048290728616
threshold,1025.8170186601064,2195.208200593845,2741.129346079414,1060.393988098371,0.4830493926778856
threshold,1152.4534566987763,1953.936455830596,2477.3915158582363,943.8578239506776,0.4830545134332193
threshold,1294.7230799424149,1739.1766619927512,2241.058923519896,840.1346858185092,0.4830646041764852
threshold,1300.0,1732.115090510504,2233.259358337613,836.7242848315957,0.4830650627176218
threshold,1454.5557948495275,1548.0155737660343,2029.190260759596,747.217765229989,0.4826939585705504
threshold,1634.1197535649385,1377.8600654323366,1839.164316576732,665.0516280209321,0.48266993485456466
threshold,1835.850765193497,1226.4019547726127,1668.6455656152018,591.9218609845175,0.48264914996345204
threshold,2062.485337876194,1091.5866922664595,1515.5523876845068,526.8355042670498,0.48263276567908886
threshold,2317.09779988894,971.5854908530996,1378.0292965376982,468.9086431509716,0.48262211361271656
threshold,2603.142003316607,864.7705181903049,1254.4225789032944,417.35466629176494,0.4826189810045307
threshold,2924.49817601829,769.6928148909095,1143.2575829035015,371.4731990439605,0.4826252653750059
threshold,3200.0,703.3850415603602,1064.975051433919,339.480440019434,0.48263812842301096
threshold,3285.5255574369426,685.0626391948227,1043.2197017965216,330.6409725945126,0.48264341634967295
threshold,3691.1215322651688,609.7319714493957,953.136590621193,294.30318405801086,0.4826763198236462
threshold,4146.7880641233005,542.6789410690492,871.9624167500274,261.3672935333344,0.481624168091827
threshold,4658.7063304314215,482.99396472378464,798.7646514892208,232.59103343683216,0.4815609519465667
threshold,5233.820570907399,429.8674077192241,732.7109932414475,206.98440788954457,0.4815075629663468
threshold,5879.932287106999,382.5786011931205,673.058867826262,184.19912783092315,0.4814674089362931
threshold,6500.0,346.03633012754443,626.3038940064405,166.59801756338518,0.4814466085164507
threshold,6605.806070835401,340.4860661451144,619.1456263105327,163.92523858982364,0.4814447781835485
threshold,7421.288497006765,303.018811687337,570.3794095585154,145.88665430264788,0.4814442162527443
threshold,8337.44169374924,269.6685894754234,526.2321339929871,129.83785639176372,0.48147193058091275
threshold,9366.693401651874,239.98299925017616,486.2319675430612,115.56018064742815,0.48153486292151726
threshold,10523.00555772709,213.55935196554333,449.9573264301042,102.85893493814557,0.48164097704670555
threshold,11822.06369095274,190.03920725530693,417.03178860330144,90.96354259360882,0.4786567146189178
threshold,13281.489698569589,169.10351113833738,387.1186291674743,80.91484199589482,0.4784929742215781
threshold,14921.080889473207,150.4682680045501,359.9169256774712,71.97795280178171,0.47835968178755883
threshold,15000.0,149.6740533092077,358.74397437166976,71.59726793411505,0.4783545734958092
threshold,16763.07853735573,133.88068817123525,335.1576422514553,64.03076312041188,0.4782673587583868
threshold,18832.46958655668,119.11575875054092,312.5998352779841,56.96442382692149,0.4782274354329528
threshold,21157.325603303416,105.9731913110716,292.02814049323314,50.68220419643702,0.47825495834758325
threshold,23769.18357025964,94.27470492772288,273.2497054704718,45.09797875797639,0.4783677529677917
threshold,26326.0,85.07107716638396,258.1084996287984,40.71096164101637,0.4785523235046494
threshold,26703.473689911352,83.86160776330605,256.091593979026,40.13491602400628,0.4785851010307896
threshold,30000.0,74.59264437495781,240.39917793980305,35.13005869322097,0.4709587518660862
tdinn,151.90363478987055,45.27247064272064,45.27247064272064,49.35392946088784,1.090153215855549
routine,1377549.7061670425,0.0,75.57641977040939,0.0,
