eta_fraction,eta,t1,t2_formula,t2_numeric,reaches_Sc_within_horizon,q_start,q_end_window,q_max_window,plateau_max_error,flat_peak_I,flat_time_above_eta,flat_clear_time,flat_cleared,flat_control_duration,flat_cum_total,flat_J_q,real_peak_I,real_time_above_eta,real_clear_time,real_control_duration,real_cum_total,real_J_q,fixed_peak_I,fixed_time_above_eta,fixed_clear_time,fixed_cum_total
0.0001,1316.3,13.926475252186815,1724.5864699380083,1724.5864699379988,1.0,0.8469518975047786,0.323,0.8469518975047786,1.4711076801177114e-10,1316.300000000147,0.0,2209.5500665015575,1.0,1710.659994685812,2155648.6873662174,743.1845310781646,151.90363478987055,0.0,45.272470642720634,45.272470642720634,2096.757838966186,25.147146687199037,1377549.7061670423,35.862218442544574,75.57641977040939,4587182.843828065
0.0002,2632.6,14.612331326435347,869.7009247911484,869.7009247911484,1.0,0.8468690423942378,0.323,0.8468690423942378,9.094947017729282e-13,2632.600000000001,0.0,1243.1552090373289,1.0,855.0885934647131,2182122.788830367,371.40545012466987,151.90363478987055,0.0,45.272470642720634,45.272470642720634,2096.757838966186,25.147146687199037,1377549.7061670423,32.71334072563821,75.57641977040939,4587182.843828065
0.0005,6581.5,15.520146910126222,357.26544663913523,357.26544663913523,1.0,0.846619858864923,0.323,0.846619858864923,5.475158104673028e-10,6581.5000000005475,0.0,620.7714033987394,1.0,341.745299729009,2234665.8091097227,148.3377220891228,151.90363478987055,0.0,45.272470642720634,45.272470642720634,2096.757838966186,25.147146687199037,1377549.7061670423,28.514837103096415,75.57641977040939,4587182.843828065
0.001,13163.0,16.208784142996603,186.83889378018196,186.83889378017412,1.0,0.8462024797009858,0.323,0.8462024797009858,5.476977094076574e-09,13163.000000005477,0.0,389.32162635597285,1.0,170.63010963717753,2293938.6964149177,73.98134500212436,151.90363478987055,0.0,45.272470642720634,45.272470642720634,2096.757838966186,25.147146687199037,1377549.7061670423,25.34096829319874,75.57641977040939,4587182.843828065
0.0015,19744.5,16.613065910645286,130.20414181149332,130.20414181146796,1.0,0.8457824859122833,0.323,0.8457824859122833,2.8918293537572026e-08,19744.50000002892,0.0,304.01446678354705,1.0,113.59107590082267,2339486.084968485,49.19549379876392,151.90363478987055,0.0,45.272470642720634,45.272470642720634,2096.757838966186,25.147146687199037,1377549.7061670423,23.491627411841044,75.57641977040939,4587182.843828065
0.002,26326.0,16.90093479932957,101.97201196571353,101.97201196571353,1.0,0.8453598505859481,0.323,0.8453598505859481,2.8874637791886926e-08,26326.00000002657,0.0,258.1090647627735,1.0,85.07107716638396,2377943.131661682,36.802271977253774,151.90363478987055,0.0,45.272470642720634,45.272470642720634,2096.757838966186,25.147146687199037,1377549.7061670423,22.142108390309748,75.57641977040939,4587182.843828065
0.003,39489.0,17.308771832754726,73.85887545076457,73.85887545076457,1.0,0.844506545692071,0.323,0.844506545692071,1.3175304047763348e-07,39489.00000011544,0.0,208.39348996781277,1.0,56.55010361800984,2442608.174230499,24.408452065561193,151.90363478987055,0.0,45.272470642720634,45.272470642720634,2096.757838966186,25.147146687199037,1377549.7061670423,20.29276750895205,75.57641977040939,4587182.843828065
0.004,52652.0,17.600238653375627,59.88886655059667,59.88886655057877,1.0,0.8436423417019789,0.323,0.8436423417019789,1.396474544890225e-07,52652.00000013283,0.0,181.18497472658828,1.0,42.28862789720314,2497305.942903461,18.2109368323897,151.90363478987055,0.0,45.272470642720634,45.272470642720634,2096.757838966186,25.147146687199037,1377549.7061670423,18.94324848742076,75.57641977040939,4587182.843828065
0.005,65815.0,17.827967577675523,51.55890499363792,51.55890499356669,1.0,0.8427670086235279,0.323,0.8427670086235279,4.341272870078683e-07,65815.00000043413,0.0,163.6582071490082,1.0,33.73093741589117,2545662.561500493,14.49193643117134,151.90363478987055,0.0,45.272470642720634,45.272470642720634,2096.757838966186,25.147146687199037,1377549.7061670423,17.918613674776623,75.57641977040939,4587182.843828065
0.0075,98722.5,18.24690876137497,40.56518103825166,40.56518103814208,1.0,0.8405284134903905,0.323,0.8405284134903905,1.0340881999582052e-06,98722.50000103409,0.0,138.10711196679705,1.0,22.318272276767107,2649240.4793550875,9.531804571105406,151.90363478987055,0.0,45.272470642720634,45.272470642720634,2096.757838966186,25.147146687199037,1377549.7061670423,16.019290607436286,75.57641977040939,4587182.843828065
0.01,131630.0,18.5498045416144,35.15906620962016,35.15906620962016,1.0,0.8382148556985307,0.323,0.8382148556985307,1.1995434761047363e-06,131630.00000000003,0.0,123.8906873954557,1.0,16.609261668005757,2737381.628804101,7.050121988874969,151.90363478987055,0.0,45.272470642720634,45.272470642720634,2096.757838966186,25.147146687199037,1377549.7061670423,14.69476267889631,75.57641977040939,4587182.843828065
