metric,value
N,13163000
beta,0.1498
gamma,0.2953
delta_q,0.3531
c0,12.8872
q0,0.323
eta,26326
eta_fraction,0.002
learned_clear_time,45.2724706427
learned_cleared,1
fit_removed_initial,False
S0_fit,13162999.999
I0_fit,0.00100662823365
R0_initial_fit,0
fit_objective,1036.76140515
beta1,5.46951583312
beta2,1.30695023312
rho1,710672.391962
Sc,2974125.41159
Sbar,1711863.16468
R0_eff,4.42583892015
Imax_background,1377552.49329
S_star,13020440.7541
Delta_t_formula,85.0710771664
q_start,0.845359850586
q_end,0.323
t1,16.9009347993
t2_formula,101.972011966
t2_numeric,101.972011966
Delta_t_numeric,85.0710771664
reaches_Sc_within_horizon,1
plateau_max_error,2.88746377919e-08
q_min_control,0.323
q_max_control,0.845359850586
data_start,2021-12-09
data_end,2022-01-17
data_days,40
observed_community_cases,583
observed_quarantine_cases,1467
observed_total_cases,2050
eta_scan_min,1316.3
eta_scan_max,131630
