date,community_new,quarantine_new,t,total_new,community_cum,quarantine_cum,total_cum
2021-12-09,1,0,0.0,1,1,0,1
2021-12-10,0,0,1.0,0,1,0,1
2021-12-11,0,0,2.0,0,1,0,1
2021-12-12,1,0,3.0,1,2,0,2
2021-12-13,1,0,4.0,1,3,0,3
2021-12-14,0,0,5.0,0,3,0,3
2021-12-15,1,3,6.0,4,4,3,7
2021-12-16,2,2,7.0,4,6,5,11
2021-12-17,3,4,8.0,7,9,9,18
2021-12-18,5,5,9.0,10,14,14,28
2021-12-19,8,13,10.0,21,22,27,49
2021-12-20,21,21,11.0,42,43,48,91
2021-12-21,31,21,12.0,52,74,69,143
2021-12-22,35,28,13.0,63,109,97,206
2021-12-23,22,27,14.0,49,131,124,255
2021-12-24,24,51,15.0,75,155,175,330
2021-12-25,59,96,16.0,155,214,271,485
2021-12-26,42,109,17.0,151,256,380,636
2021-12-27,57,117,18.0,174,313,497,810
2021-12-28,60,91,19.0,151,373,588,961
2021-12-29,58,97,20.0,155,431,685,1116
2021-12-30,54,107,21.0,161,485,792,1277
2021-12-31,33,141,22.0,174,518,933,1451
2022-01-01,22,100,23.0,122,540,1033,1573
2022-01-02,9,81,24.0,90,549,1114,1663
2022-01-03,10,85,25.0,95,559,1199,1758
2022-01-04,4,31,26.0,35,563,1230,1793
2022-01-05,2,61,27.0,63,565,1291,1856
2022-01-06,5,52,28.0,57,570,1343,1913
2022-01-07,0,46,29.0,46,570,1389,1959
2022-01-08,4,26,30.0,30,574,1415,1989
2022-01-09,4,11,31.0,15,578,1426,2004
2022-01-10,0,13,32.0,13,578,1439,2017
2022-01-11,0,8,33.0,8,578,1447,2025
2022-01-12,2,4,34.0,6,580,1451,2031
2022-01-13,1,7,35.0,8,581,1458,2039
2022-01-14,2,2,36.0,4,583,1460,2043
2022-01-15,0,1,37.0,1,583,1461,2044
2022-01-16,0,5,38.0,5,583,1466,2049
2022-01-17,0,1,39.0,1,583,1467,2050
